t,ax,ay,az,gx,gy,gz
12224, 0.30, 0.11, 0.98, 2.38, -10.57, 0.77
12225, 0.31, 0.08, 0.97, 4.06, -3.57, 0.84
12226, 0.29, 0.08, 0.97, 5.67, -5.81, 0.98
12227, 0.28, 0.10, 0.96, 6.02, -7.00, 2.94
12228, 0.29, 0.11, 0.97, 3.85, -12.95, 2.73
12229, 0.32, 0.11, 0.97, 3.78, -12.81, 0.77
12230, 0.34, 0.11, 0.96, 5.39, -11.13, -0.35
12231, 0.37, 0.11, 0.96, 5.46, -4.62, -2.73
12232, 0.37, 0.10, 0.96, 9.94, -2.03, -9.10
12233, 0.38, 0.14, 0.97, 5.67, 11.83, -10.64
12234, 0.34, 0.14, 0.98, 4.83, 14.00, -9.94
12235, 0.31, 0.12, 0.98, 1.47, 35.21, -12.95
12236, 0.31, 0.13, 0.96, 0.91, 22.40, -14.84
12237, 0.29, 0.12, 0.98, 1.54, 16.24, -16.10
12238, 0.28, 0.14, 0.99, -1.40, 24.85, -11.06
12239, 0.19, 0.12, 0.99, 2.10, 15.40, 0.70
12240, 0.21, 0.15, 0.98, -0.35, 11.55, 5.60
12241, 0.23, 0.17, 0.97, -4.34, 14.84, 4.97
12242, 0.21, 0.18, 0.96, -3.85, 7.42, 5.04
12243, 0.19, 0.18, 0.97, -5.11, -0.28, 4.97
12244, 0.20, 0.15, 0.97, -7.07, -8.61, -0.77
12245, 0.24, 0.14, 0.99, -9.31, -9.59, 0.07
12246, 0.25, 0.13, 0.99, -5.88, -12.46, 1.61
12247, 0.26, 0.09, 0.98, -5.46, -12.04, 0.70
12248, 0.27, 0.10, 0.98, -4.27, -5.88, 4.83
12249, 0.24, 0.11, 0.97, -1.75, -10.92, 8.47
12250, 0.24, 0.11, 0.98, 0.00, -15.54, 8.54
12251, 0.26, 0.12, 0.98, -0.91, -16.31, 9.17
12252, 0.29, 0.12, 0.99, -1.96, -15.12, 9.17
12253, 0.30, 0.11, 0.98, 0.07, -10.92, 4.13
12254, 0.28, 0.07, 0.97, 3.57, -13.23, 1.33
12255, 0.29, 0.09, 0.96, 1.96, -7.21, 1.82
12256, 0.29, 0.11, 0.97, 0.14, -14.07, 1.19
12257, 0.31, 0.10, 0.97, 1.75, -13.51, 2.80
12258, 0.33, 0.11, 0.96, 0.07, -10.92, 3.36
12259, 0.35, 0.12, 0.96, 1.68, -6.30, 0.28
12260, 0.35, 0.09, 0.97, 6.58, -5.11, -3.01
12261, 0.35, 0.12, 0.97, 4.27, 3.36, -1.12
12262, 0.34, 0.14, 0.98, 2.45, 7.91, 2.59
12263, 0.31, 0.13, 0.98, 1.05, 8.89, 1.54
12264, 0.32, 0.11, 0.97, -1.89, 11.76, -0.91
12265, 0.28, 0.10, 0.98, -0.84, 11.20, -1.75
12266, 0.27, 0.11, 0.99, -2.52, 11.90, -1.68
12267, 0.25, 0.10, 0.99, 0.84, 4.34, -0.21
12268, 0.27, 0.14, 0.97, -1.68, 7.84, 3.01
12269, 0.24, 0.14, 0.96, -3.43, 2.80, 4.69
12270, 0.25, 0.12, 0.97, -5.18, -4.27, 3.15
12271, 0.29, 0.13, 0.97, -5.74, -3.36, -0.07
12272, 0.31, 0.14, 0.99, -2.17, -0.49, 1.54
12273, 0.28, 0.12, 0.98, 0.42, -2.03, 3.71
12274, 0.28, 0.10, 0.97, -2.03, -3.15, 3.78
12275, 0.27, 0.12, 0.96, -5.39, -3.22, 6.09
12276, 0.26, 0.14, 0.97, -5.60, -9.17, 7.21
12277, 0.26, 0.08, 0.99, -4.83, -16.03, 4.48
12278, 0.30, 0.05, 0.98, -3.99, -14.07, 3.22
12279, 0.35, 0.16, 0.96, -3.22, -1.47, 11.13
12280, 0.26, 0.08, 0.99, 3.57, -12.11, 9.80
12281, 0.29, 0.03, 0.97, 1.68, -14.07, 3.22
12282, 0.31, 0.07, 0.96, 2.59, -8.05, 3.36
12283, 0.33, 0.12, 0.97, 1.19, -2.87, 1.47
12284, 0.31, 0.11, 0.97, 2.31, -7.21, -0.42
12285, 0.30, 0.08, 0.96, 3.36, -13.09, 0.28
12286, 0.34, 0.09, 0.96, 1.89, -10.85, 0.70
12287, 0.36, 0.10, 0.96, 3.36, -7.42, 0.07
12288, 0.37, 0.11, 0.96, 4.48, -2.17, -1.19
12289, 0.34, 0.10, 0.96, 3.50, 2.03, 1.68
12290, 0.33, 0.12, 0.99, -0.63, 5.39, 5.32
12291, 0.34, 0.10, 0.98, -1.05, 6.16, 1.68
12292, 0.34, 0.09, 0.97, -3.22, 12.25, 0.49
12293, 0.32, 0.11, 0.97, -3.36, 15.61, -0.14
12294, 0.29, 0.08, 0.97, -2.87, 12.81, -1.54
12295, 0.26, 0.06, 1.00, -1.96, 12.25, -3.64
12296, 0.26, 0.09, 0.96, 2.45, -0.84, -1.75
12297, 0.27, 0.12, 0.97, -3.29, 10.29, 1.61
12298, 0.26, 0.13, 0.97, -2.03, -0.35, 3.71
12299, 0.25, 0.13, 0.97, -5.39, -2.17, 2.73
12300, 0.27, 0.12, 0.96, -3.22, -9.38, 0.35
12301, 0.28, 0.09, 0.97, -0.91, -10.85, -0.56
12302, 0.32, 0.09, 0.98, -1.26, -11.27, 2.87
12303, 0.32, 0.08, 0.98, -3.01, -5.81, 4.48
12304, 0.34, 0.09, 0.97, -3.43, 0.28, 1.75
12305, 0.33, 0.08, 0.98, -3.08, 1.61, 0.28
12306, 0.30, 0.06, 0.97, -6.79, 3.99, 2.59
12307, 0.30, 0.09, 0.96, -6.37, 3.43, 3.57
12308, 0.29, 0.06, 0.98, -5.88, -2.59, 1.54
12309, 0.30, 0.06, 0.99, -4.62, -0.84, 0.84
12310, 0.29, 0.09, 0.97, -6.23, 2.31, 3.85
12311, 0.26, 0.08, 0.97, -4.27, -2.38, 6.37
12312, 0.26, 0.06, 0.97, -2.80, -5.74, 3.43
12313, 0.29, 0.07, 0.98, -4.48, -4.20, -0.14
12314, 0.31, 0.08, 0.98, -3.29, -2.03, 0.14
12315, 0.31, 0.08, 0.98, -2.94, 0.14, -0.07
