t,ax,ay,az,gx,gy,gz
8643, 0.55, -0.86, 0.71, -2.94, -24.64, -27.86
8644, 0.41, -1.05, 0.99, 45.43, -7.98, -6.72
8645, 0.61, -1.02, 1.07, 17.78, 37.10, -34.65
8646, 0.19, -0.78, 0.80, 51.94, 58.17, 37.73
8647, 0.13, -0.39, 0.72, 62.72, 21.21, 40.81
8648, 0.21, -0.36, 0.79, 28.07, -15.40, 25.27
8649, 0.26, -0.45, 0.88, -35.77, -16.52, 11.20
8650, 0.25, -0.51, 0.67, -56.84, -7.77, 31.36
8651, 0.27, -0.55, 0.75, -46.97, -16.73, 60.97
8652, 0.38, -0.58, 0.70, -15.82, -18.27, 74.55
8653, 0.47, -0.58, 0.68, 26.53, -4.34, 92.47
8654, 0.19, -0.53, 0.87, 79.24, -10.29, 118.23
8655, 0.18, -0.26, 0.75, 93.10, -24.50, 137.62
8656, 0.26, -0.30, 0.81, 61.46, -27.58, 111.51
8657, 0.27, -0.34, 0.77, 64.68, 5.18, 77.84
8658, 0.24, -0.34, 1.02, 14.49, 41.72, 33.95
8659, 0.23, -0.75, 0.98, -27.65, 69.51, -25.06
8660, -0.11, -0.70, 0.94, -10.57, 44.87, -45.08
8661, -0.01, -0.68, 0.96, -66.71, 36.40, -71.54
8662, -0.17, -0.64, 0.91, -103.53, 16.59, -70.49
8663, -0.14, -0.62, 0.82, -93.17, -41.93, -79.31
8664, 0.04, -0.79, 0.87, 11.83, -38.36, -42.14
8665, 0.05, -0.83, 0.77, 8.40, 15.75, -12.46
8666, -0.16, -0.53, 1.02, 28.49, 17.22, 43.05
8667, -0.07, -0.12, 0.88, -54.04, -11.06, 32.34
8668, 0.08, -0.14, 0.78, -147.14, -42.63, -6.65
8669, 0.27, -0.29, 0.71, -139.65, -25.20, -83.23
8670, 0.47, -0.37, 0.77, -122.01, -4.76, -131.18
8671, 0.64, -0.76, 0.79, -7.00, 57.89, -169.26
8672, 0.68, -0.82, 0.66, -76.30, 148.89, -182.56
8673, 0.39, -1.20, 0.91, 35.70, 164.99, -158.13
8674, 0.31, -1.42, 0.43, -51.03, 120.54, -113.26
