timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.76,-0.47,-0.44,-0.63,-1.75,-2.73
20,0.76,-0.47,-0.44,0.42,-0.49,-2.24
40,0.76,-0.47,-0.44,0.42,-1.33,-3.36
60,0.76,-0.47,-0.44,0.77,-0.91,-1.89
80,0.76,-0.47,-0.44,2.52,1.33,-1.75
100,0.75,-0.48,-0.44,3.71,-0.7,-6.16
120,0.76,-0.47,-0.44,1.75,-0.98,-4.13
140,0.77,-0.47,-0.43,1.75,-1.26,-4.9
160,0.77,-0.46,-0.44,-0.07,-1.68,-2.94
180,0.77,-0.46,-0.44,0.21,-1.4,-0.91
200,0.77,-0.46,-0.44,0.21,-1.4,-0.84
220,0.76,-0.47,-0.44,0.84,-0.91,-1.75
240,0.77,-0.46,-0.44,1.05,-0.77,-1.26
260,0.76,-0.46,-0.43,0.7,-0.28,-3.22
280,0.77,-0.46,-0.43,0.07,-0.63,-2.8
300,0.77,-0.46,-0.43,0.35,-1.26,-2.66
320,0.77,-0.46,-0.43,-1.05,-1.19,-2.1
340,0.77,-0.45,-0.44,-0.56,-2.1,-0.91
360,0.77,-0.46,-0.43,-0.14,-2.03,1.33
380,0.77,-0.46,-0.44,-0.21,-1.54,1.12
400,0.77,-0.46,-0.44,-0.14,-1.61,-0.07
420,0.77,-0.46,-0.44,-0.7,-1.19,-1.82
440,0.78,-0.45,-0.44,-0.28,-2.66,2.03
460,0.77,-0.46,-0.44,-1.26,-4.41,8.26
480,0.77,-0.46,-0.44,-2.94,-4.69,14.14
500,0.75,-0.46,-0.45,-0.49,-3.29,12.39
520,0.75,-0.47,-0.44,0.91,0.0,2.17
