timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.66,-0.66,0.39,54.74,20.93,69.86
20,0.63,-0.63,0.51,67.83,18.27,77.42
40,0.49,-0.65,0.49,56.49,34.58,71.4
60,0.29,-0.64,0.44,27.23,13.3,67.34
80,0.3,-0.75,0.54,20.72,5.95,77.42
100,0.34,-0.66,0.54,8.75,-0.84,92.4
120,0.31,-0.61,0.67,-10.08,12.88,81.83
140,0.41,-0.94,0.59,-52.5,5.88,38.43
160,0.17,-0.92,0.63,-41.09,1.68,-4.41
180,0.21,-1.05,0.55,-42.0,-3.85,-12.74
200,0.17,-1.01,0.34,-11.9,-28.91,-31.64
220,0.23,-0.96,0.6,10.78,-31.5,-41.3
240,0.5,-1.02,0.75,8.61,-1.89,-45.15
260,0.36,-0.86,0.46,12.81,30.94,-35.0
280,0.31,-0.75,0.49,18.69,-10.08,-63.42
300,0.33,-0.66,0.5,36.19,11.76,-63.7
320,0.37,-0.59,0.51,30.87,18.76,-57.05
340,0.47,-0.47,0.43,6.44,-31.01,-80.78
360,0.49,-0.51,0.58,-14.98,-19.95,-78.47
380,0.57,-0.53,0.55,-46.41,-17.43,-58.17
400,0.61,-0.51,0.51,-65.38,6.79,-39.83
420,0.57,-0.53,0.48,-91.77,23.17,-63.84
440,0.58,-0.79,0.5,-45.99,9.59,-61.6
460,0.53,-1.01,0.22,-15.47,33.11,-26.81
480,0.46,-0.93,0.33,1.75,43.68,25.83
500,0.53,-0.98,0.34,5.88,38.5,0.42
520,0.68,-1.09,0.48,-48.37,59.08,-15.68
540,0.48,-1.14,0.4,22.19,4.27,3.43
560,0.43,-0.95,0.51,5.67,12.88,8.68
580,0.28,-0.72,0.41,14.98,4.13,-3.78
600,0.26,-0.73,0.32,18.62,-22.82,-1.26
620,0.36,-0.72,0.41,1.19,-41.79,5.04
640,0.5,-0.72,0.43,-13.72,-31.71,14.21
660,0.56,-0.74,0.41,-1.89,-11.2,34.65
680,0.58,-0.72,0.37,12.6,0.91,55.58
700,0.62,-0.71,0.42,33.04,9.45,66.57
720,0.6,-0.64,0.5,53.27,23.24,71.05
740,0.57,-0.55,0.5,68.53,36.82,74.76
760,0.5,-0.53,0.53,49.56,36.75,73.15
780,0.39,-0.61,0.48,41.16,45.57,59.92
800,0.26,-0.69,0.45,24.15,36.82,58.87
820,0.28,-0.69,0.49,9.94,26.67,80.57
840,0.25,-0.63,0.59,-30.59,25.48,66.01
860,0.4,-0.98,0.58,-59.78,24.71,21.28
880,0.05,-1.03,0.72,-41.93,19.46,-23.38
900,0.05,-0.86,0.59,-44.8,-4.83,-38.57
920,0.14,-1.15,0.6,-75.81,-27.65,-50.47
940,0.15,-0.95,0.43,14.35,-22.19,-46.2
960,0.21,-0.95,0.54,11.9,-3.64,-39.13
980,0.35,-0.93,0.56,8.26,13.86,-47.95
1000,0.36,-0.79,0.53,6.86,27.02,-44.66
1020,0.3,-0.71,0.55,20.3,11.41,-74.76
1040,0.28,-0.67,0.56,26.25,28.07,-68.04
1060,0.27,-0.52,0.42,8.89,3.5,-84.0
1080,0.39,-0.62,0.57,-5.04,-27.72,-94.92
1100,0.48,-0.69,0.62,-37.17,-17.01,-75.67
1120,0.55,-0.69,0.57,-38.71,4.41,-46.76
1140,0.6,-0.63,0.56,-39.76,18.34,-36.05
1160,0.56,-0.56,0.54,-60.06,37.59,-53.41
1180,0.46,-0.69,0.51,-63.42,19.32,-64.82
1200,0.47,-0.86,0.35,-60.13,42.49,-38.57
1220,0.37,-0.84,0.31,-52.5,35.49,3.57
1240,0.37,-0.85,0.56,-19.67,25.55,21.56
1260,0.58,-0.83,0.3,-115.71,-5.81,-12.6
1280,0.6,-1.02,0.41,-102.13,43.82,-18.06
1300,0.45,-1.12,0.28,-49.07,8.96,1.89
1320,0.4,-1.06,0.28,15.75,-1.26,17.43
1340,0.39,-0.95,0.35,35.56,-19.67,17.99
1360,0.38,-0.86,0.41,54.39,-32.27,17.43
1380,0.4,-0.78,0.4,50.12,-42.0,17.43
1400,0.34,-0.69,0.41,40.81,-44.45,12.25
1420,0.38,-0.7,0.41,36.4,-43.05,9.38
1440,0.44,-0.8,0.37,9.38,-58.87,8.75
1460,0.51,-0.81,0.42,8.96,-59.5,24.57
1480,0.55,-0.83,0.41,18.2,-49.21,40.25
1500,0.56,-0.79,0.37,33.67,-44.03,57.33
1520,0.57,-0.76,0.38,43.12,-39.83,66.29
1540,0.56,-0.76,0.36,62.79,-30.17,79.17
1560,0.49,-0.72,0.43,90.23,-36.4,86.66
1580,0.51,-0.65,0.49,87.64,-35.91,88.9
1600,0.49,-0.59,0.5,85.05,-36.19,82.67
1620,0.46,-0.64,0.58,79.66,-35.28,85.4
1640,0.43,-0.74,0.59,81.27,-21.35,84.63
1660,0.23,-0.7,0.6,81.41,-22.05,100.03
1680,0.17,-0.55,0.58,84.35,-23.03,119.91
1700,0.24,-0.51,0.67,31.64,-29.19,110.74
1720,0.3,-0.75,0.66,-30.31,-28.84,56.21
1740,0.14,-1.08,0.71,-25.06,2.73,24.36
1760,0.1,-0.91,0.64,-8.19,-46.41,-2.38
1780,0.16,-0.92,0.68,-28.91,-54.04,-33.32
1800,0.16,-0.88,0.54,-46.55,-59.57,-48.09
1820,0.06,-0.98,0.51,5.88,-64.4,-66.22
1840,0.32,-0.95,0.51,34.16,-45.92,-56.91
1860,0.44,-1.02,0.54,42.35,26.25,-35.28
1880,0.39,-0.85,0.47,40.32,31.01,-27.65
1900,0.33,-0.67,0.62,53.97,15.54,-71.61
1920,0.3,-0.6,0.63,21.56,8.4,-68.39
1940,0.31,-0.59,0.57,8.33,17.01,-64.05
1960,0.37,-0.5,0.48,-9.87,-34.23,-82.18
1980,0.45,-0.57,0.62,-18.76,-42.28,-85.19
2000,0.53,-0.65,0.59,-36.68,-30.45,-73.43
2020,0.59,-0.68,0.52,-31.57,-15.47,-49.35
2040,0.64,-0.62,0.54,-19.6,2.73,-27.37
2060,0.63,-0.58,0.58,-8.61,10.92,-20.93
2080,0.6,-0.51,0.5,-49.56,29.75,-24.71
2100,0.55,-0.61,0.48,-67.62,28.14,-31.57
2120,0.51,-0.7,0.56,-89.95,-9.52,-29.19
2140,0.56,-0.72,0.42,-46.9,9.1,-2.59
2160,0.41,-0.79,0.39,-21.49,27.72,28.98
