timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.52,-1.18,0.7,-126.84,-11.55,-38.5
20,0.36,-1.02,-0.11,-96.32,18.27,36.68
40,0.07,-1.12,0.25,15.05,-39.97,62.09
60,0.36,-1.03,0.39,-5.11,-8.12,66.01
80,0.22,-0.94,0.38,26.11,-7.84,58.24
100,0.13,-0.82,0.36,32.34,-18.76,56.07
120,0.2,-0.88,0.48,25.41,-26.46,55.37
140,0.25,-0.83,0.48,20.51,-24.36,61.32
160,0.2,-0.87,0.54,7.7,-34.16,68.25
180,0.22,-0.87,0.52,2.38,-38.01,74.2
200,0.19,-0.89,0.49,5.39,-44.66,77.56
220,0.18,-0.92,0.46,6.3,-53.69,78.96
240,0.16,-0.87,0.42,2.59,-49.7,85.12
260,0.16,-0.78,0.42,-11.55,-49.91,90.65
280,0.14,-0.84,0.41,8.54,-29.47,96.32
300,0.13,-0.98,0.42,-15.89,-37.87,94.64
320,-0.0,-0.99,0.35,-23.8,-26.04,99.47
340,-0.09,-0.93,0.34,-24.57,-30.73,76.3
360,-0.08,-0.98,0.31,-29.68,-30.03,62.23
380,-0.05,-1.03,0.38,-35.21,-34.58,57.47
400,-0.07,-0.96,0.34,-28.21,-30.24,65.03
420,-0.03,-0.96,0.39,-28.77,-41.93,72.38
440,0.02,-0.98,0.38,-6.93,-9.17,65.52
460,-0.13,-1.02,0.39,19.11,15.68,53.34
480,-0.31,-0.9,0.29,37.8,42.0,34.79
500,-0.35,-0.88,0.33,15.05,9.31,24.5
520,-0.23,-0.94,0.4,-0.77,-23.31,20.86
540,-0.16,-0.95,0.44,1.89,-10.92,15.89
560,-0.15,-0.95,0.43,5.6,-3.29,10.64
580,-0.18,-0.93,0.39,4.34,-1.47,10.57
600,-0.19,-0.92,0.38,5.04,-10.08,7.98
620,-0.17,-0.91,0.39,5.67,-11.83,9.03
640,-0.16,-0.93,0.41,4.83,-8.61,10.15
660,-0.22,-0.94,0.43,4.9,-4.41,10.92
680,-0.22,-0.94,0.4,8.68,0.14,8.89
700,-0.23,-0.94,0.41,12.39,0.42,3.85
720,-0.2,-0.92,0.42,8.26,-0.91,-0.28
740,-0.21,-0.92,0.44,8.47,-1.05,-3.71
760,-0.2,-0.92,0.42,2.94,-1.33,-7.91
780,-0.19,-0.94,0.42,4.06,-5.25,-12.67
800,-0.2,-0.96,0.42,5.04,-12.88,-21.63
820,-0.2,-0.97,0.42,9.1,-19.32,-28.7
840,-0.16,-0.97,0.43,15.19,-25.41,-38.01
860,-0.12,-0.96,0.43,27.16,-28.35,-44.66
880,-0.09,-0.94,0.43,34.37,-25.2,-42.49
