timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.42,-0.83,0.64,35.56,29.19,-35.63
20,0.36,-0.55,0.63,46.55,49.14,-15.26
40,0.31,-0.4,0.53,12.25,35.49,-23.94
60,0.35,-0.36,0.6,-37.66,-27.3,-55.79
80,0.36,-0.41,0.8,-48.02,-31.78,-55.16
100,0.38,-0.48,0.74,-63.63,-22.26,-60.9
120,0.32,-0.66,0.37,-81.34,-11.9,-61.67
140,0.19,-0.88,0.39,-80.43,-48.02,-34.16
160,0.49,-1.04,0.48,-10.71,-38.85,8.19
180,0.6,-0.97,0.54,20.02,5.04,33.39
200,0.49,-0.91,0.64,56.14,41.86,52.71
220,0.61,-0.89,0.38,-40.88,46.76,7.77
240,0.44,-1.06,0.61,-43.89,55.09,-0.14
260,0.33,-1.03,0.36,4.41,11.34,22.19
280,0.32,-0.88,0.55,70.77,-36.19,26.95
300,0.3,-0.66,0.54,39.9,-48.79,5.88
320,0.33,-0.77,0.46,47.74,-68.18,8.47
340,0.39,-0.75,0.49,20.86,-73.08,19.04
360,0.41,-0.75,0.52,0.98,-56.42,30.17
380,0.47,-0.72,0.49,5.04,-34.3,45.36
400,0.46,-0.71,0.43,1.33,-25.76,51.94
420,0.46,-0.69,0.39,4.13,-19.67,57.61
440,0.46,-0.68,0.39,24.29,-10.78,69.16
460,0.52,-0.65,0.48,37.73,-15.47,73.5
480,0.49,-0.6,0.51,40.67,-16.59,77.35
500,0.4,-0.61,0.55,39.48,-9.87,69.16
520,0.31,-0.65,0.48,43.47,8.19,68.18
540,0.24,-0.67,0.57,29.54,23.1,65.38
560,0.25,-0.63,0.59,-2.38,9.45,70.49
580,0.22,-0.71,0.64,-59.99,-8.75,48.09
600,-0.03,-1.09,0.7,-79.1,-2.59,23.87
620,-0.09,-1.14,0.42,-27.72,-72.03,36.19
640,0.03,-1.1,0.49,-1.68,-87.29,45.36
660,0.14,-0.98,0.65,-22.54,-75.74,37.59
680,0.26,-1.0,0.47,-12.6,-53.27,10.22
700,0.23,-0.94,0.44,36.33,-53.62,8.54
720,0.25,-0.85,0.52,39.27,-43.82,2.59
740,0.19,-0.79,0.54,48.3,-3.29,10.01
760,0.29,-0.79,0.57,27.65,-9.03,-8.12
780,0.24,-0.7,0.55,28.28,-23.59,-24.85
800,0.22,-0.62,0.56,20.58,-28.98,-26.39
820,0.24,-0.57,0.59,-17.85,-40.18,-26.67
840,0.34,-0.58,0.52,-49.14,-46.2,-35.49
860,0.54,-0.59,0.5,-65.17,-44.87,-56.21
880,0.61,-0.69,0.55,-56.0,-22.82,-63.35
900,0.55,-0.74,0.61,-35.21,13.79,-70.84
920,0.4,-0.79,0.42,-45.08,35.35,-68.95
940,0.23,-0.9,0.49,-43.05,-0.35,-55.86
960,0.39,-0.86,0.48,6.93,7.21,-32.06
980,0.47,-0.91,0.33,11.27,27.37,-7.21
1000,0.35,-1.0,0.55,49.21,42.49,34.72
1020,0.48,-0.96,0.36,-32.41,18.55,1.26
1040,0.47,-1.08,0.36,-67.76,39.55,-4.48
1060,0.36,-1.15,0.31,16.1,21.21,-1.75
1080,0.31,-1.1,0.3,54.32,9.45,20.72
