timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.31,-0.06,0.87,-3.57,-31.92,73.08
20,-0.33,0.01,0.91,-7.28,-45.71,52.43
40,-0.32,0.1,1.12,-16.73,-36.61,27.16
60,-0.29,0.06,1.08,-58.31,16.1,-13.86
80,-0.43,-0.25,1.26,-75.81,53.83,-38.29
100,-0.66,-0.1,1.16,-65.17,-11.27,-43.12
120,-0.57,-0.2,0.79,-55.02,-59.29,-65.45
140,-0.41,-0.19,0.74,-83.37,-97.65,-67.41
160,-0.32,-0.14,1.07,-70.7,-58.87,-89.88
180,-0.19,-0.26,1.02,-70.49,-12.32,-98.56
200,-0.06,-0.38,0.93,-19.11,-11.2,-82.46
220,-0.06,-0.26,0.82,23.87,-26.46,-67.62
240,-0.08,-0.19,0.87,22.82,-11.55,-63.63
260,-0.12,-0.23,0.77,8.96,1.82,-59.43
280,-0.22,-0.34,0.87,19.53,-16.94,-68.46
300,-0.27,-0.24,0.86,43.89,-26.88,-60.34
320,-0.04,-0.26,1.04,23.1,-36.4,-75.32
340,0.08,-0.33,1.16,-8.61,29.96,-46.55
360,0.05,-0.38,1.06,-48.72,84.84,-14.91
380,-0.24,-0.63,1.22,-16.1,70.91,16.8
400,-0.32,-0.58,1.01,52.22,28.07,53.27
420,-0.41,-0.38,0.9,111.09,22.89,105.0
440,-0.25,-0.31,0.85,122.43,40.39,109.2
460,-0.16,-0.15,0.96,74.69,47.18,105.28
480,-0.24,0.06,0.95,36.33,41.09,103.25
500,-0.32,0.09,0.97,11.62,14.28,87.85
520,-0.18,0.04,0.87,-22.26,-49.7,63.14
540,-0.1,-0.1,0.93,-14.07,-26.18,73.08
560,-0.16,-0.17,0.77,-5.18,-7.21,104.44
580,-0.33,-0.13,0.86,27.51,-32.69,111.16
600,-0.39,0.04,0.95,33.95,-43.33,78.33
620,-0.26,0.13,1.02,-1.61,-44.94,20.16
640,-0.15,0.08,1.11,-53.2,12.32,-5.11
660,-0.19,-0.01,1.13,-80.22,79.03,-20.93
680,-0.62,-0.12,1.32,-82.39,88.27,-34.58
700,-0.72,-0.08,0.99,-58.87,-1.61,-48.93
720,-0.7,-0.09,0.71,-84.77,-90.09,-43.54
740,-0.63,0.15,0.84,-120.12,-84.7,-56.7
760,-0.18,0.05,1.06,-151.69,-102.9,-172.13
780,0.01,-0.37,0.99,-154.98,-113.4,-215.88
800,0.29,-0.72,0.91,-50.12,-48.72,-130.41
820,0.19,-0.55,0.92,-1.82,3.71,-79.03
840,0.06,-0.37,0.82,6.79,63.07,-11.34
860,-0.08,-0.3,0.82,35.14,64.68,-27.16
880,-0.15,-0.32,0.71,33.67,26.67,-55.44
900,-0.32,-0.18,0.9,70.98,8.05,-38.43
920,0.0,-0.37,1.1,10.92,-17.71,-64.54
940,0.04,-0.51,1.08,-2.87,55.09,-15.26
960,-0.12,-0.56,1.16,-12.95,80.78,23.17
980,-0.18,-0.69,1.09,63.0,33.74,27.86
1000,-0.32,-0.56,0.96,79.73,20.93,65.03
1020,-0.35,-0.4,0.83,112.63,22.54,102.06
1040,-0.21,-0.4,0.72,103.88,32.69,108.99
1060,-0.18,-0.15,0.98,86.03,24.92,123.48
1080,-0.34,0.06,1.07,33.6,28.28,121.24
1100,-0.35,0.05,0.96,-22.33,-18.55,95.06
1120,-0.07,-0.24,0.85,-53.2,-56.84,69.16
1140,0.04,-0.23,0.92,-38.36,-42.14,64.33
1160,0.05,-0.16,1.01,-7.77,-16.66,88.48
1180,-0.09,-0.14,0.87,20.3,1.61,124.74
1200,-0.16,-0.1,0.89,41.37,4.34,122.92
1220,-0.2,0.02,0.93,52.15,9.66,92.68
1240,-0.26,0.19,1.06,25.83,25.41,60.69
1260,-0.3,0.16,1.03,-45.01,48.3,27.02
1280,-0.34,-0.08,1.2,-82.18,88.48,-3.01
1300,-0.72,-0.13,1.2,-66.01,63.21,-12.39
1320,-0.67,-0.09,0.96,-66.57,-33.32,-36.47
1340,-0.53,-0.13,0.76,-82.25,-99.33,-65.24
1360,-0.55,0.02,0.83,-98.7,-98.21,-63.21
1380,-0.23,-0.07,0.95,-122.99,-87.43,-101.08
1400,0.08,-0.38,1.01,-147.42,-106.05,-171.43
1420,0.18,-0.65,0.97,-62.93,-50.75,-119.63
1440,0.11,-0.49,0.85,-9.8,-30.94,-74.83
1460,0.1,-0.39,0.92,-9.87,10.22,-35.07
1480,0.08,-0.3,0.81,11.2,42.63,-30.38
1500,-0.11,-0.32,0.73,34.37,48.86,-37.52
1520,-0.33,-0.39,0.82,28.84,58.17,-30.8
1540,-0.19,-0.41,0.87,43.19,52.64,-2.66
1560,-0.04,-0.31,1.17,57.61,30.03,11.76
1580,-0.01,-0.33,1.25,6.3,26.6,11.48
1600,-0.12,-0.64,1.24,19.39,20.23,12.74
1620,-0.35,-0.67,0.99,83.93,-31.01,45.01
1640,-0.37,-0.51,0.86,101.29,-25.27,86.45
1660,-0.19,-0.47,0.76,115.36,23.45,92.68
1680,-0.05,-0.33,0.96,82.6,49.98,112.35
1700,-0.2,-0.06,1.0,54.74,45.43,159.46
1720,-0.28,0.08,0.99,24.5,1.05,136.08
1740,-0.2,0.06,0.94,-10.22,-16.59,108.71
1760,-0.09,0.02,0.99,-19.32,-27.72,102.97
1780,-0.08,-0.07,0.96,-35.91,-9.1,97.72
