timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.44,-1.11,0.54,-6.44,67.48,22.96
20,0.63,-1.0,0.25,-101.78,39.83,-20.44
40,0.52,-1.19,0.63,-12.53,60.06,-15.12
60,0.48,-1.03,0.43,-43.54,29.82,-16.38
80,0.28,-0.86,0.47,16.45,24.57,6.65
100,0.17,-0.7,0.43,34.3,-6.37,-0.21
120,0.16,-0.81,0.4,34.16,-44.31,-1.75
140,0.26,-0.79,0.48,19.6,-73.36,17.85
160,0.41,-0.74,0.51,18.55,-54.95,41.51
180,0.5,-0.69,0.45,20.65,-41.09,49.91
200,0.6,-0.68,0.46,25.62,-26.74,53.13
220,0.68,-0.72,0.5,34.3,-13.65,57.4
240,0.67,-0.67,0.55,68.81,15.12,72.45
260,0.57,-0.48,0.54,74.34,20.72,81.27
280,0.52,-0.48,0.57,51.38,21.84,64.05
300,0.32,-0.61,0.52,38.36,33.11,50.82
320,0.2,-0.76,0.57,47.04,15.26,82.32
340,0.18,-0.6,0.62,32.55,10.5,102.41
360,0.21,-0.52,0.67,-29.33,-8.82,65.17
380,0.31,-0.97,0.8,-53.06,23.52,-2.31
400,0.18,-0.87,0.7,-59.01,-5.88,-42.14
420,0.23,-0.99,0.64,-83.93,-4.34,-61.67
440,0.1,-1.07,0.48,-48.65,-34.23,-65.94
460,0.28,-0.88,0.56,12.32,-28.7,-63.0
480,0.34,-0.97,0.59,-17.08,5.46,-60.48
500,0.42,-0.9,0.54,-6.58,29.33,-49.63
520,0.38,-0.74,0.55,15.19,28.49,-56.21
540,0.37,-0.62,0.53,18.06,32.27,-61.53
560,0.33,-0.53,0.51,4.41,31.78,-60.62
580,0.45,-0.49,0.54,-32.55,-9.45,-87.01
600,0.54,-0.59,0.59,-41.93,-7.7,-78.26
620,0.56,-0.62,0.48,-35.0,9.8,-45.92
640,0.53,-0.57,0.44,-41.09,23.24,-51.87
660,0.46,-0.64,0.38,-62.09,3.36,-65.87
680,0.46,-0.79,0.49,-41.09,-32.27,-55.72
700,0.65,-0.83,0.28,-11.27,17.08,-11.06
720,0.6,-0.93,0.45,-10.78,48.93,30.24
740,0.59,-1.08,0.44,-2.8,38.5,12.46
760,0.59,-1.13,0.48,-16.38,57.19,7.63
