timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.75,-0.5,-0.42,4.48,3.71,5.32
20,0.75,-0.5,-0.43,0.63,-0.77,3.71
40,0.74,-0.5,-0.43,1.75,-1.54,5.67
60,0.73,-0.51,-0.43,0.07,-1.61,-0.84
80,0.75,-0.5,-0.43,-1.33,-1.26,1.19
100,0.74,-0.5,-0.43,0.0,-1.75,0.77
120,0.74,-0.51,-0.43,-0.56,-0.49,-2.17
140,0.75,-0.5,-0.43,-0.56,-1.54,-0.21
160,0.74,-0.5,-0.43,-0.56,-1.96,2.8
180,0.75,-0.5,-0.42,0.28,-2.87,2.8
200,0.73,-0.51,-0.44,0.84,-1.33,2.17
220,0.74,-0.51,-0.43,0.77,-3.08,2.38
240,0.74,-0.51,-0.44,-0.42,-1.61,1.4
260,0.74,-0.5,-0.43,0.49,0.77,1.54
280,0.74,-0.51,-0.43,-0.14,0.63,0.91
300,0.74,-0.51,-0.43,-0.7,-1.12,1.47
320,0.74,-0.51,-0.43,-1.4,0.91,-0.56
340,0.75,-0.5,-0.43,-0.56,1.75,0.91
360,0.75,-0.5,-0.43,-3.92,-0.21,1.4
380,0.75,-0.51,-0.43,-6.86,-1.05,4.34
400,0.74,-0.5,-0.44,-6.72,-3.5,4.69
420,0.74,-0.5,-0.44,-6.23,-5.53,6.44
440,0.73,-0.51,-0.44,-2.87,-4.69,5.18
460,0.73,-0.51,-0.44,-0.91,-1.82,0.49
480,0.74,-0.51,-0.43,-1.68,-2.8,-1.33
500,0.73,-0.51,-0.45,-3.08,-3.36,-1.96
520,0.74,-0.51,-0.43,-4.62,-1.89,-5.32
540,0.73,-0.5,-0.45,0.49,0.28,-2.8
560,0.73,-0.52,-0.43,-1.33,5.11,-15.47
580,0.74,-0.38,-0.44,-3.78,3.99,-24.22
600,0.75,-0.47,-0.45,16.87,0.77,-14.91
620,0.75,-0.48,-0.42,5.95,6.93,-18.97
640,0.77,-0.47,-0.43,5.46,4.83,-11.69
660,0.78,-0.46,-0.43,5.95,2.31,1.82
680,0.76,-0.47,-0.43,2.94,-2.24,6.16
700,0.76,-0.47,-0.44,4.13,-3.64,10.08
720,0.77,-0.47,-0.44,4.27,-3.92,13.58
740,0.74,-0.49,-0.43,5.25,6.02,8.82
760,0.75,-0.51,-0.44,0.7,3.08,4.97
780,0.75,-0.53,-0.45,-17.85,1.96,6.86
800,0.74,-0.49,-0.42,-2.87,2.17,5.46
820,0.75,-0.5,-0.43,0.98,-2.17,2.24
840,0.75,-0.49,-0.43,0.49,-2.1,2.24
860,0.75,-0.49,-0.43,0.07,-5.18,4.55
880,0.75,-0.49,-0.43,0.07,-7.0,8.05
900,0.74,-0.5,-0.43,-1.19,-7.56,8.96
920,0.74,-0.51,-0.43,-1.61,-10.22,9.8
940,0.72,-0.52,-0.45,0.42,-4.69,1.96
960,0.74,-0.52,-0.43,-0.7,-3.85,3.78
980,0.73,-0.5,-0.44,-0.84,0.56,0.7
1000,0.74,-0.51,-0.44,0.28,-1.33,2.24
1020,0.74,-0.5,-0.43,0.56,-1.33,3.85
1040,0.73,-0.5,-0.44,1.26,-0.14,5.18
1060,0.73,-0.51,-0.44,0.07,0.07,4.06
1080,0.73,-0.51,-0.44,0.14,0.56,4.83
1100,0.73,-0.52,-0.43,0.77,2.17,5.04
1120,0.73,-0.53,-0.43,-0.98,5.04,5.04
1140,0.74,-0.52,-0.43,-5.04,0.91,1.75
1160,0.73,-0.52,-0.44,-5.81,0.07,1.12
1180,0.72,-0.53,-0.43,-7.35,1.26,-3.43
1200,0.74,-0.51,-0.44,-5.39,1.26,-5.11
1220,0.72,-0.53,-0.43,-4.55,3.15,-10.78
1240,0.74,-0.5,-0.44,-5.95,3.08,-18.83
1260,0.75,-0.49,-0.44,-3.64,2.45,-19.39
1280,0.75,-0.48,-0.44,-3.5,2.59,-12.95
1300,0.74,-0.5,-0.43,5.39,5.53,-20.09
1320,0.76,-0.48,-0.43,4.34,5.88,-19.74
1340,0.75,-0.5,-0.41,11.48,7.21,-21.35
1360,0.79,-0.45,-0.42,6.09,1.96,-12.39
1380,0.78,-0.47,-0.42,6.3,0.14,-4.83
1400,0.78,-0.45,-0.42,7.84,0.77,5.39
1420,0.77,-0.46,-0.42,10.01,1.82,10.92
1440,0.78,-0.49,-0.41,5.32,4.55,7.91
1460,0.79,-0.51,-0.43,-4.9,10.71,12.81
1480,0.77,-0.47,-0.42,-10.22,12.11,12.88
1500,0.76,-0.51,-0.42,-3.08,20.86,0.7
1520,0.76,-0.5,-0.41,-5.81,15.82,17.43
1540,0.75,-0.48,-0.37,3.78,-1.89,5.18
1560,0.78,-0.49,-0.4,3.64,-10.99,5.39
1580,0.77,-0.49,-0.4,1.19,-4.62,3.99
1600,0.76,-0.49,-0.4,0.7,-6.65,2.38
1620,0.77,-0.49,-0.4,-1.05,-8.05,4.06
1640,0.77,-0.48,-0.41,0.7,-6.09,9.1
1660,0.78,-0.49,-0.4,-1.4,-7.35,12.04
1680,0.76,-0.49,-0.4,-2.17,-5.32,14.49
1700,0.76,-0.51,-0.39,-2.03,-1.4,11.55
1720,0.76,-0.5,-0.41,-2.59,-3.15,14.28
1740,0.75,-0.52,-0.42,-5.18,-3.08,16.31
1760,0.75,-0.52,-0.41,-10.92,-1.54,11.97
