t,ax,ay,az,gx,gy,gz
2187, 0.79, -0.26, 0.57, 10.50, -2.73, 4.55
2188, 0.80, -0.23, 0.57, 10.92, -2.38, 3.08
2189, 0.80, -0.24, 0.59, 10.43, -2.80, 3.15
2190, 0.79, -0.25, 0.59, 12.25, -3.08, 3.01
2191, 0.81, -0.21, 0.59, 12.18, 0.56, 1.89
2192, 0.80, -0.22, 0.59, 13.51, 1.40, 1.12
2193, 0.80, -0.21, 0.60, 8.33, 1.82, -1.82
2194, 0.80, -0.22, 0.59, 2.52, 0.21, -1.61
2195, 0.76, -0.23, 0.56, 0.63, -8.19, 1.89
2196, 0.79, -0.22, 0.58, 7.14, -14.14, 0.77
2197, 0.81, -0.21, 0.57, 4.48, -5.60, 2.38
2198, 0.83, -0.22, 0.58, 5.18, -2.03, 3.78
2199, 0.80, -0.21, 0.58, 3.29, 1.68, 1.19
2200, 0.79, -0.22, 0.59, -1.40, 3.92, 2.31
2201, 0.80, -0.24, 0.61, 5.95, 6.86, 2.66
2202, 0.78, -0.24, 0.60, 8.68, 5.74, 1.96
2203, 0.84, -0.18, 0.50, 3.01, 5.81, -0.56
2204, 0.80, -0.14, 0.63, -29.54, 6.02, -1.75
2205, 0.80, -0.22, 0.58, 0.35, 1.82, 1.40
2206, 0.83, -0.24, 0.57, 0.84, 5.18, -2.17
2207, 0.81, -0.26, 0.57, 2.73, 5.74, -3.08
2208, 0.77, -0.26, 0.57, 17.22, 2.66, -1.26
2209, 0.80, -0.23, 0.58, 3.92, 0.14, -1.96
2210, 0.79, -0.26, 0.59, 2.17, 1.40, -0.14
2211, 0.76, -0.25, 0.58, 4.48, -0.91, 2.94
2212, 0.80, -0.24, 0.59, 2.73, -2.52, 2.38
2213, 0.80, -0.24, 0.59, 4.13, -1.82, 1.12
2214, 0.81, -0.26, 0.59, 6.86, 0.84, -0.63
2215, 0.79, -0.24, 0.61, 7.84, 2.52, -1.47
2216, 0.76, -0.21, 0.59, 9.59, -0.98, -0.63
