t,ax,ay,az,gx,gy,gz
25608, -0.57, 0.88, 0.04, -19.95, 3.01, 2.80
25609, -0.54, 0.83, 0.09, -16.17, 5.32, 3.43
25610, -0.55, 0.87, 0.04, -29.96, 5.53, 3.64
25611, -0.56, 0.86, 0.06, -38.15, 5.95, 5.32
25612, -0.56, 0.86, 0.09, -40.32, -0.07, 2.66
25613, -0.54, 0.83, 0.10, -33.46, -5.04, -3.57
25614, -0.55, 0.82, 0.13, -29.19, -5.74, -5.88
25615, -0.57, 0.84, 0.14, -24.71, -1.61, -1.47
25616, -0.55, 0.84, 0.15, -25.06, 6.79, 9.73
25617, -0.55, 0.84, 0.15, -27.16, 7.70, 12.81
25618, -0.54, 0.82, 0.15, -20.16, 2.52, 8.89
25619, -0.54, 0.84, 0.16, -23.38, -0.91, 4.62
25620, -0.54, 0.82, 0.18, -19.88, 0.70, 0.84
25621, -0.55, 0.79, 0.18, -9.80, -6.58, -1.54
25622, -0.52, 0.83, 0.21, -9.94, -2.24, -3.85
25623, -0.52, 0.84, 0.19, -12.60, 8.68, -4.55
25624, -0.55, 0.85, 0.18, -14.49, 9.59, -0.84
25625, -0.56, 0.91, 0.20, -25.27, 14.28, 5.95
25626, -0.54, 0.89, 0.21, -22.75, 25.27, 18.20
25627, -0.52, 0.87, 0.20, -35.91, 30.38, 26.88
25628, -0.53, 0.89, 0.21, -47.74, 30.94, 28.35
25629, -0.53, 0.87, 0.18, -46.76, 19.11, 26.39
25630, -0.55, 0.86, 0.20, -46.34, 1.61, 26.46
25631, -0.53, 0.89, 0.23, -51.80, -5.81, 25.62
25632, -0.49, 0.86, 0.23, -50.33, -6.86, 29.68
25633, -0.50, 0.83, 0.27, -50.75, -21.07, 29.12
25634, -0.49, 0.84, 0.28, -45.29, -27.58, 19.46
25635, -0.47, 0.85, 0.30, -44.45, -25.97, 15.19
25636, -0.45, 0.83, 0.38, -50.61, -28.84, 19.18
25637, -0.41, 0.85, 0.42, -58.73, -15.75, 19.74
25638, -0.40, 0.82, 0.43, -49.49, -6.30, 16.80
25639, -0.43, 0.82, 0.41, -51.94, -3.29, 12.74
