t,ax,ay,az,gx,gy,gz
15203, 0.76, -0.47, -0.44, -0.63, -1.75, -2.73
15204, 0.76, -0.47, -0.44, 0.42, -0.49, -2.24
15205, 0.76, -0.47, -0.44, 0.42, -1.33, -3.36
15206, 0.76, -0.47, -0.44, 0.77, -0.91, -1.89
15207, 0.76, -0.47, -0.44, 2.52, 1.33, -1.75
15208, 0.75, -0.48, -0.44, 3.71, -0.70, -6.16
15209, 0.76, -0.47, -0.44, 1.75, -0.98, -4.13
15210, 0.77, -0.47, -0.43, 1.75, -1.26, -4.90
15211, 0.77, -0.46, -0.44, -0.07, -1.68, -2.94
15212, 0.77, -0.46, -0.44, 0.21, -1.40, -0.91
15213, 0.77, -0.46, -0.44, 0.21, -1.40, -0.84
15214, 0.76, -0.47, -0.44, 0.84, -0.91, -1.75
15215, 0.77, -0.46, -0.44, 1.05, -0.77, -1.26
15216, 0.76, -0.46, -0.43, 0.70, -0.28, -3.22
15217, 0.77, -0.46, -0.43, 0.07, -0.63, -2.80
15218, 0.77, -0.46, -0.43, 0.35, -1.26, -2.66
15219, 0.77, -0.46, -0.43, -1.05, -1.19, -2.10
15220, 0.77, -0.45, -0.44, -0.56, -2.10, -0.91
15221, 0.77, -0.46, -0.43, -0.14, -2.03, 1.33
15222, 0.77, -0.46, -0.44, -0.21, -1.54, 1.12
15223, 0.77, -0.46, -0.44, -0.14, -1.61, -0.07
15224, 0.77, -0.46, -0.44, -0.70, -1.19, -1.82
15225, 0.78, -0.45, -0.44, -0.28, -2.66, 2.03
15226, 0.77, -0.46, -0.44, -1.26, -4.41, 8.26
15227, 0.77, -0.46, -0.44, -2.94, -4.69, 14.14
15228, 0.75, -0.46, -0.45, -0.49, -3.29, 12.39
15229, 0.75, -0.47, -0.44, 0.91, 0.00, 2.17
