t,ax,ay,az,gx,gy,gz
22751, 0.65, -0.35, 0.70, -0.14, -2.73, 0.14
22752, 0.65, -0.35, 0.70, -0.91, -1.96, -0.14
22753, 0.65, -0.35, 0.70, 0.07, -2.59, 0.28
22754, 0.65, -0.35, 0.70, -0.28, -2.03, 0.00
22755, 0.65, -0.35, 0.70, -0.14, -2.03, -0.07
22756, 0.65, -0.35, 0.70, -0.35, -1.40, 0.35
22757, 0.65, -0.35, 0.70, -0.07, -1.68, -0.07
22758, 0.65, -0.35, 0.70, -0.28, -1.47, -0.42
22759, 0.65, -0.35, 0.70, -0.07, -1.54, 0.21
22760, 0.65, -0.35, 0.70, 0.14, -1.54, 0.42
22761, 0.65, -0.35, 0.70, -0.21, -1.75, -0.07
22762, 0.65, -0.35, 0.70, -0.42, -1.40, 0.07
22763, 0.65, -0.35, 0.70, 0.07, -1.82, 0.42
22764, 0.65, -0.35, 0.70, 0.14, -1.47, 0.00
22765, 0.65, -0.35, 0.69, 0.21, -1.96, -0.14
22766, 0.65, -0.35, 0.70, -0.28, -1.54, 0.07
22767, 0.65, -0.35, 0.70, 0.07, -2.17, 0.14
22768, 0.65, -0.35, 0.69, 0.14, -1.75, 0.14
22769, 0.65, -0.35, 0.69, 0.28, -1.61, 0.56
22770, 0.65, -0.35, 0.70, 0.35, -2.38, 0.49
22771, 0.65, -0.35, 0.70, 0.28, -1.75, 0.56
22772, 0.65, -0.35, 0.70, -0.07, -1.68, 0.49
22773, 0.65, -0.35, 0.70, -0.07, -1.75, 0.21
22774, 0.65, -0.35, 0.69, 0.00, -1.75, -0.07
22775, 0.65, -0.35, 0.70, 0.28, -1.89, 0.21
22776, 0.65, -0.35, 0.70, 0.00, -1.61, 0.07
22777, 0.65, -0.35, 0.69, 0.21, -1.75, 0.14
22778, 0.65, -0.35, 0.70, 0.28, -1.54, 0.56
22779, 0.66, -0.35, 0.69, 0.98, -0.35, 0.63
22780, 0.66, -0.35, 0.69, 0.42, -0.21, 0.14
22781, 0.65, -0.35, 0.69, 0.35, -0.14, 0.07
22782, 0.65, -0.35, 0.69, 0.42, -0.21, 0.14
22783, 0.65, -0.35, 0.70, 0.21, 0.00, -0.07
22784, 0.65, -0.35, 0.70, 0.00, 0.35, -0.28
22785, 0.65, -0.35, 0.69, 0.42, 0.21, -0.07
22786, 0.65, -0.35, 0.70, 0.35, 0.49, -0.14
22787, 0.65, -0.35, 0.70, 0.56, 0.35, -0.21
22788, 0.65, -0.35, 0.70, 0.14, 0.84, -0.28
22789, 0.65, -0.35, 0.70, 0.21, 1.12, -0.63
22790, 0.65, -0.35, 0.70, 0.21, 0.56, -0.28
22791, 0.65, -0.35, 0.70, 0.70, 0.70, -0.07
22792, 0.64, -0.35, 0.70, 0.70, 0.70, 0.21
22793, 0.65, -0.35, 0.70, 0.63, 0.00, 0.14
22794, 0.65, -0.35, 0.70, 0.56, 0.14, 0.07
22795, 0.65, -0.35, 0.70, 0.84, -0.07, -0.14
22796, 0.64, -0.35, 0.70, 0.42, -0.21, -0.35
22797, 0.65, -0.35, 0.70, 0.00, 0.21, -0.14
22798, 0.65, -0.35, 0.70, 0.28, -0.28, 0.07
22799, 0.64, -0.35, 0.70, 0.42, -0.21, 0.21
22800, 0.65, -0.35, 0.70, 0.56, -0.21, 0.42
22801, 0.64, -0.35, 0.70, 0.35, -0.56, 0.42
22802, 0.64, -0.35, 0.70, 0.98, -0.91, 0.56
22803, 0.65, -0.35, 0.71, 0.91, -0.84, 0.84
22804, 0.64, -0.35, 0.70, 1.40, -0.98, 0.91
22805, 0.64, -0.35, 0.70, 1.33, -1.54, 0.98
22806, 0.64, -0.35, 0.70, 1.05, -1.89, 0.70
22807, 0.64, -0.35, 0.70, 1.26, -2.17, 0.98
22808, 0.64, -0.35, 0.70, 0.84, -2.17, 0.70
22809, 0.65, -0.35, 0.70, 0.70, -2.59, 0.63
22810, 0.64, -0.35, 0.70, 0.49, -2.31, 0.70
22811, 0.64, -0.35, 0.70, 0.00, -2.52, 0.56
22812, 0.64, -0.35, 0.70, -0.56, -3.43, 0.35
22813, 0.65, -0.35, 0.70, -0.56, -3.36, 0.91
22814, 0.65, -0.34, 0.70, -0.91, -3.64, 1.12
22815, 0.65, -0.35, 0.70, -0.42, -3.78, 0.28
22816, 0.65, -0.35, 0.70, -0.42, -3.01, 0.14
22817, 0.65, -0.35, 0.69, -0.84, -3.15, -0.07
22818, 0.65, -0.35, 0.70, -0.84, -2.52, -0.28
22819, 0.66, -0.35, 0.70, -0.84, -1.75, 0.07
22820, 0.65, -0.35, 0.70, -0.42, -1.40, -0.14
22821, 0.65, -0.35, 0.69, -0.42, -1.54, -0.35
22822, 0.65, -0.35, 0.69, 0.14, -1.68, 0.21
22823, 0.65, -0.35, 0.70, 0.28, -1.96, 0.35
22824, 0.65, -0.35, 0.70, -0.14, -1.61, 0.14
22825, 0.65, -0.35, 0.70, 0.00, -1.26, 0.21
22826, 0.65, -0.35, 0.70, 0.14, -1.40, 0.21
22827, 0.65, -0.35, 0.70, 0.07, -1.82, 0.14
22828, 0.65, -0.35, 0.70, -0.07, -1.61, 0.07
22829, 0.65, -0.35, 0.70, 0.00, -1.40, 0.28
22830, 0.65, -0.35, 0.69, 0.14, -1.75, 0.35
22831, 0.65, -0.36, 0.70, 0.42, -2.17, 0.42
22832, 0.65, -0.35, 0.69, 0.21, -2.10, 0.35
22833, 0.65, -0.35, 0.69, 0.77, -1.96, 0.42
22834, 0.66, -0.35, 0.70, 0.35, -1.96, 0.77
