t,ax,ay,az,gx,gy,gz
9856, -0.31, -0.06, 0.87, -3.57, -31.92, 73.08
9857, -0.33, 0.01, 0.91, -7.28, -45.71, 52.43
9858, -0.32, 0.10, 1.12, -16.73, -36.61, 27.16
9859, -0.29, 0.06, 1.08, -58.31, 16.10, -13.86
9860, -0.43, -0.25, 1.26, -75.81, 53.83, -38.29
9861, -0.66, -0.10, 1.16, -65.17, -11.27, -43.12
9862, -0.57, -0.20, 0.79, -55.02, -59.29, -65.45
9863, -0.41, -0.19, 0.74, -83.37, -97.65, -67.41
9864, -0.32, -0.14, 1.07, -70.70, -58.87, -89.88
9865, -0.19, -0.26, 1.02, -70.49, -12.32, -98.56
9866, -0.06, -0.38, 0.93, -19.11, -11.20, -82.46
9867, -0.06, -0.26, 0.82, 23.87, -26.46, -67.62
9868, -0.08, -0.19, 0.87, 22.82, -11.55, -63.63
9869, -0.12, -0.23, 0.77, 8.96, 1.82, -59.43
9870, -0.22, -0.34, 0.87, 19.53, -16.94, -68.46
9871, -0.27, -0.24, 0.86, 43.89, -26.88, -60.34
9872, -0.04, -0.26, 1.04, 23.10, -36.40, -75.32
9873, 0.08, -0.33, 1.16, -8.61, 29.96, -46.55
9874, 0.05, -0.38, 1.06, -48.72, 84.84, -14.91
9875, -0.24, -0.63, 1.22, -16.10, 70.91, 16.80
9876, -0.32, -0.58, 1.01, 52.22, 28.07, 53.27
9877, -0.41, -0.38, 0.90, 111.09, 22.89, 105.00
9878, -0.25, -0.31, 0.85, 122.43, 40.39, 109.20
9879, -0.16, -0.15, 0.96, 74.69, 47.18, 105.28
9880, -0.24, 0.06, 0.95, 36.33, 41.09, 103.25
9881, -0.32, 0.09, 0.97, 11.62, 14.28, 87.85
9882, -0.18, 0.04, 0.87, -22.26, -49.70, 63.14
9883, -0.10, -0.10, 0.93, -14.07, -26.18, 73.08
9884, -0.16, -0.17, 0.77, -5.18, -7.21, 104.44
9885, -0.33, -0.13, 0.86, 27.51, -32.69, 111.16
9886, -0.39, 0.04, 0.95, 33.95, -43.33, 78.33
9887, -0.26, 0.13, 1.02, -1.61, -44.94, 20.16
9888, -0.15, 0.08, 1.11, -53.20, 12.32, -5.11
9889, -0.19, -0.01, 1.13, -80.22, 79.03, -20.93
9890, -0.62, -0.12, 1.32, -82.39, 88.27, -34.58
9891, -0.72, -0.08, 0.99, -58.87, -1.61, -48.93
9892, -0.70, -0.09, 0.71, -84.77, -90.09, -43.54
9893, -0.63, 0.15, 0.84, -120.12, -84.70, -56.70
9894, -0.18, 0.05, 1.06, -151.69, -102.90, -172.13
9895, 0.01, -0.37, 0.99, -154.98, -113.40, -215.88
9896, 0.29, -0.72, 0.91, -50.12, -48.72, -130.41
9897, 0.19, -0.55, 0.92, -1.82, 3.71, -79.03
9898, 0.06, -0.37, 0.82, 6.79, 63.07, -11.34
9899, -0.08, -0.30, 0.82, 35.14, 64.68, -27.16
9900, -0.15, -0.32, 0.71, 33.67, 26.67, -55.44
9901, -0.32, -0.18, 0.90, 70.98, 8.05, -38.43
9902, 0.00, -0.37, 1.10, 10.92, -17.71, -64.54
9903, 0.04, -0.51, 1.08, -2.87, 55.09, -15.26
9904, -0.12, -0.56, 1.16, -12.95, 80.78, 23.17
9905, -0.18, -0.69, 1.09, 63.00, 33.74, 27.86
9906, -0.32, -0.56, 0.96, 79.73, 20.93, 65.03
9907, -0.35, -0.40, 0.83, 112.63, 22.54, 102.06
9908, -0.21, -0.40, 0.72, 103.88, 32.69, 108.99
9909, -0.18, -0.15, 0.98, 86.03, 24.92, 123.48
9910, -0.34, 0.06, 1.07, 33.60, 28.28, 121.24
9911, -0.35, 0.05, 0.96, -22.33, -18.55, 95.06
9912, -0.07, -0.24, 0.85, -53.20, -56.84, 69.16
9913, 0.04, -0.23, 0.92, -38.36, -42.14, 64.33
9914, 0.05, -0.16, 1.01, -7.77, -16.66, 88.48
9915, -0.09, -0.14, 0.87, 20.30, 1.61, 124.74
9916, -0.16, -0.10, 0.89, 41.37, 4.34, 122.92
9917, -0.20, 0.02, 0.93, 52.15, 9.66, 92.68
9918, -0.26, 0.19, 1.06, 25.83, 25.41, 60.69
9919, -0.30, 0.16, 1.03, -45.01, 48.30, 27.02
9920, -0.34, -0.08, 1.20, -82.18, 88.48, -3.01
9921, -0.72, -0.13, 1.20, -66.01, 63.21, -12.39
9922, -0.67, -0.09, 0.96, -66.57, -33.32, -36.47
9923, -0.53, -0.13, 0.76, -82.25, -99.33, -65.24
9924, -0.55, 0.02, 0.83, -98.70, -98.21, -63.21
9925, -0.23, -0.07, 0.95, -122.99, -87.43, -101.08
9926, 0.08, -0.38, 1.01, -147.42, -106.05, -171.43
9927, 0.18, -0.65, 0.97, -62.93, -50.75, -119.63
9928, 0.11, -0.49, 0.85, -9.80, -30.94, -74.83
9929, 0.10, -0.39, 0.92, -9.87, 10.22, -35.07
9930, 0.08, -0.30, 0.81, 11.20, 42.63, -30.38
9931, -0.11, -0.32, 0.73, 34.37, 48.86, -37.52
9932, -0.33, -0.39, 0.82, 28.84, 58.17, -30.80
9933, -0.19, -0.41, 0.87, 43.19, 52.64, -2.66
9934, -0.04, -0.31, 1.17, 57.61, 30.03, 11.76
9935, -0.01, -0.33, 1.25, 6.30, 26.60, 11.48
9936, -0.12, -0.64, 1.24, 19.39, 20.23, 12.74
9937, -0.35, -0.67, 0.99, 83.93, -31.01, 45.01
9938, -0.37, -0.51, 0.86, 101.29, -25.27, 86.45
9939, -0.19, -0.47, 0.76, 115.36, 23.45, 92.68
9940, -0.05, -0.33, 0.96, 82.60, 49.98, 112.35
9941, -0.20, -0.06, 1.00, 54.74, 45.43, 159.46
9942, -0.28, 0.08, 0.99, 24.50, 1.05, 136.08
9943, -0.20, 0.06, 0.94, -10.22, -16.59, 108.71
9944, -0.09, 0.02, 0.99, -19.32, -27.72, 102.97
9945, -0.08, -0.07, 0.96, -35.91, -9.10, 97.72
9946, -0.11, -0.20, 0.76, -15.89, -8.19, 112.56
9947, -0.19, -0.11, 0.83, 23.45, -16.03, 119.42
9948, -0.21, 0.10, 0.99, 28.77, -7.70, 85.19
9949, -0.21, 0.17, 1.10, -4.62, 23.73, 40.81
9950, -0.22, 0.14, 1.07, -44.03, 52.71, -1.54
9951, -0.35, -0.10, 1.30, -66.78, 100.80, -13.09
9952, -0.68, -0.09, 1.13, -65.38, 27.65, -20.09
9953, -0.65, -0.10, 0.91, -53.83, -53.83, -44.87
