t,ax,ay,az,gx,gy,gz
18352, -0.11, -0.44, 0.97, -75.53, -44.66, -35.49
18353, -0.04, -0.48, 0.87, -69.16, -46.97, -47.18
18354, -0.01, -0.49, 0.82, -45.01, -39.62, -51.31
18355, 0.02, -0.52, 0.94, -33.39, -18.41, -50.33
18356, 0.02, -0.54, 0.90, -28.14, -14.42, -51.94
18357, 0.13, -0.52, 0.84, -17.57, -28.70, -61.04
18358, 0.18, -0.48, 0.88, -25.69, -28.56, -58.59
18359, 0.22, -0.46, 0.91, -48.58, -11.34, -60.55
18360, 0.14, -0.47, 0.86, -32.69, 13.65, -84.84
18361, 0.03, -0.57, 0.85, -4.27, 17.71, -81.69
18362, 0.00, -0.64, 0.76, -8.33, 5.81, -59.22
18363, 0.04, -0.63, 0.81, -5.53, 20.09, -29.05
18364, 0.11, -0.55, 0.79, 3.29, 44.17, -5.18
18365, 0.09, -0.50, 0.83, -4.06, 45.92, -6.93
18366, 0.08, -0.60, 0.90, -17.15, 36.12, -18.41
18367, 0.07, -0.81, 0.91, 40.67, 24.85, -21.35
18368, -0.03, -0.78, 0.83, 21.49, 29.82, 0.35
18369, -0.01, -0.71, 0.82, 46.48, 18.48, 2.80
18370, -0.02, -0.69, 0.83, 44.03, 8.54, -0.28
18371, -0.03, -0.67, 0.81, 47.53, -1.68, 11.83
18372, -0.03, -0.61, 0.83, 57.12, -15.12, 26.25
18373, -0.01, -0.55, 0.90, 60.13, -27.30, 31.85
18374, 0.03, -0.49, 0.92, 49.84, -36.75, 35.21
18375, 0.07, -0.44, 0.89, 37.17, -34.23, 39.76
18376, 0.10, -0.40, 0.85, 24.57, -29.82, 38.15
18377, 0.12, -0.43, 0.85, 15.61, -24.85, 29.12
18378, 0.13, -0.43, 0.92, 7.42, -22.96, 31.43
18379, 0.15, -0.41, 0.92, -7.28, -11.13, 39.41
18380, 0.16, -0.40, 0.93, -12.39, -9.66, 40.11
18381, 0.19, -0.40, 0.96, -17.15, -13.37, 39.55
18382, 0.19, -0.45, 0.96, -14.14, -5.32, 44.38
18383, 0.15, -0.50, 0.88, 2.31, 8.40, 50.47
18384, 0.03, -0.47, 0.83, 4.83, -2.59, 67.48
18385, 0.03, -0.42, 0.87, 1.05, -13.09, 67.13
18386, 0.09, -0.39, 0.92, -6.72, -3.64, 54.95
18387, 0.11, -0.40, 0.91, -15.96, 7.77, 53.41
18388, 0.09, -0.40, 0.91, -21.98, 20.58, 60.76
18389, 0.06, -0.44, 0.89, -34.65, 38.15, 63.49
18390, 0.03, -0.59, 0.96, -36.54, 44.38, 51.73
18391, -0.24, -0.58, 0.95, -15.75, 51.31, 47.18
18392, -0.26, -0.57, 0.87, -19.74, 22.47, 29.89
18393, -0.24, -0.55, 0.86, -3.08, 4.90, 22.26
18394, -0.26, -0.46, 0.89, -3.22, -3.99, 6.02
18395, -0.22, -0.51, 0.85, -14.91, -16.38, -20.37
18396, -0.18, -0.55, 0.82, -17.36, -24.22, -37.66
18397, -0.16, -0.59, 0.88, -39.97, -45.71, -50.40
18398, -0.06, -0.56, 0.92, -43.33, -48.72, -40.88
18399, 0.01, -0.53, 0.82, -31.71, -57.40, -44.24
18400, 0.05, -0.46, 0.90, -8.47, -30.52, -52.43
18401, 0.05, -0.53, 0.92, -21.28, 5.18, -68.60
18402, 0.08, -0.59, 0.83, -25.97, 2.80, -77.49
18403, 0.09, -0.60, 0.81, -20.30, 3.71, -78.75
18404, 0.13, -0.52, 0.83, -23.03, 11.41, -76.37
18405, 0.20, -0.46, 0.82, -48.23, -5.32, -96.53
18406, 0.25, -0.56, 0.87, -59.99, 5.60, -110.67
18407, 0.19, -0.65, 0.86, -32.83, 40.39, -104.51
18408, 0.13, -0.68, 0.73, -7.77, 53.20, -91.14
18409, 0.12, -0.62, 0.69, -14.00, 36.68, -76.23
18410, 0.16, -0.66, 0.73, -23.52, 33.18, -65.03
18411, 0.17, -0.68, 0.74, -7.98, 46.90, -47.32
18412, 0.24, -0.68, 0.71, 13.58, 44.03, -44.59
18413, 0.21, -0.75, 0.83, 22.96, 42.42, -56.84
18414, 0.14, -0.91, 0.77, 54.39, 35.70, -55.65
18415, 0.06, -0.82, 0.75, 39.62, 44.31, -40.88
18416, 0.09, -0.75, 0.80, 62.23, 33.25, -35.56
18417, 0.09, -0.68, 0.78, 43.75, 32.20, -26.95
18418, 0.05, -0.59, 0.76, 46.55, 17.29, -17.64
18419, 0.06, -0.55, 0.81, 41.09, -0.07, -17.36
18420, 0.10, -0.50, 0.85, 34.65, -9.59, -15.61
18421, 0.14, -0.48, 0.89, 25.97, -10.43, -14.14
18422, 0.16, -0.48, 0.91, 12.18, -5.11, -16.66
18423, 0.16, -0.50, 0.89, 5.74, -3.64, -11.55
18424, 0.17, -0.52, 0.88, 11.97, -4.27, -4.48
18425, 0.18, -0.51, 0.90, 23.10, -4.90, 1.33
18426, 0.17, -0.49, 0.90, 29.05, -2.52, 8.26
18427, 0.15, -0.48, 0.90, 27.86, -5.60, 12.18
18428, 0.16, -0.48, 0.86, 15.19, -10.50, 10.43
18429, 0.14, -0.48, 0.87, 11.06, -17.01, 10.64
18430, 0.15, -0.46, 0.88, 7.49, -15.19, 3.92
18431, 0.14, -0.44, 0.85, 3.85, -18.90, -1.47
18432, 0.15, -0.45, 0.85, 10.50, -23.17, 7.14
18433, 0.15, -0.43, 0.91, 1.61, -31.85, 2.10
18434, 0.21, -0.43, 0.93, -16.45, -31.43, -0.98
18435, 0.25, -0.46, 0.87, -21.14, -21.00, 0.00
18436, 0.26, -0.49, 0.89, -13.44, -21.21, 6.79
18437, 0.28, -0.50, 0.90, -6.44, -14.21, 9.59
18438, 0.28, -0.48, 0.91, 2.03, -2.94, 10.78
18439, 0.32, -0.47, 0.88, -3.01, 9.03, 5.25
18440, 0.33, -0.49, 0.87, 4.27, 19.39, 6.72
18441, 0.32, -0.45, 0.88, 19.81, 22.19, 11.97
18442, 0.31, -0.42, 0.88, 35.91, 26.39, 15.54
18443, 0.29, -0.38, 0.91, 35.84, 23.80, 17.78
18444, 0.28, -0.35, 0.92, 27.93, 21.63, 21.77
18445, 0.29, -0.36, 0.94, 24.22, 23.45, 23.66
18446, 0.29, -0.34, 0.94, 13.09, 24.36, 24.57
18447, 0.31, -0.35, 0.93, 5.74, 31.85, 25.55
18448, 0.29, -0.36, 0.90, 6.79, 41.86, 31.22
18449, 0.27, -0.34, 0.91, 5.88, 42.28, 37.38
18450, 0.25, -0.35, 0.90, -1.05, 44.66, 36.19
18451, 0.22, -0.38, 0.86, -5.88, 43.26, 35.84
18452, 0.19, -0.36, 0.86, 1.47, 49.35, 46.62
18453, 0.18, -0.45, 0.95, -7.14, 40.46, 32.62
18454, -0.06, -0.52, 1.08, 6.37, 65.31, 6.93
18455, -0.20, -0.47, 0.92, 5.18, 34.30, -3.08
18456, -0.23, -0.37, 0.94, 3.29, 4.27, -17.57
18457, -0.16, -0.27, 0.99, -20.37, -13.93, -38.85
18458, -0.05, -0.32, 0.99, -87.15, -36.96, -80.64
18459, -0.01, -0.35, 0.97, -77.70, -42.84, -93.03
18460, 0.13, -0.44, 0.98, -57.33, -5.67, -83.79
18461, 0.13, -0.53, 0.96, -63.07, 39.27, -74.97
18462, 0.08, -0.55, 0.86, -34.30, 35.35, -78.05
18463, 0.11, -0.49, 0.84, -18.83, 20.65, -76.02
