t,ax,ay,az,gx,gy,gz
13758, -0.11, -0.31, 0.88, 76.58, 6.09, 123.62
13759, -0.23, -0.04, 1.02, 88.55, 17.22, 153.58
13760, -0.47, 0.11, 1.03, 9.87, 12.74, 105.56
13761, -0.28, -0.18, 0.87, -80.64, -85.68, 40.04
13762, -0.05, -0.38, 0.87, -45.78, -81.34, 32.76
13763, 0.03, -0.31, 1.00, -20.02, -90.79, 76.37
13764, 0.13, -0.28, 1.03, 26.18, -37.03, 92.54
13765, 0.03, -0.25, 1.02, 43.40, -5.18, 125.16
13766, -0.05, -0.17, 1.00, 69.09, 24.36, 149.66
13767, -0.15, -0.05, 1.02, 70.84, 50.89, 138.74
13768, -0.21, 0.09, 0.93, 40.11, 68.53, 113.96
13769, -0.31, 0.19, 0.99, 13.58, 70.49, 93.31
13770, -0.37, 0.18, 0.96, -22.33, 80.99, 72.24
13771, -0.50, 0.03, 0.97, -64.61, 73.50, 45.99
13772, -0.64, -0.11, 1.02, -82.74, 50.68, 22.82
13773, -0.58, -0.12, 0.96, -76.09, -10.71, 20.30
13774, -0.52, -0.03, 1.02, -75.60, -51.73, 19.67
13775, -0.40, -0.09, 0.98, -77.98, -58.87, -7.98
13776, -0.28, -0.24, 1.01, -86.45, -79.24, -37.17
13777, -0.20, -0.36, 0.92, -68.25, -89.04, -38.50
13778, -0.12, -0.37, 0.79, -49.28, -82.39, -31.78
13779, -0.08, -0.33, 0.91, -41.51, -44.80, -26.53
13780, -0.13, -0.35, 1.01, -30.52, -11.34, -38.92
13781, -0.06, -0.37, 0.99, -9.17, -1.40, -45.92
13782, -0.04, -0.31, 0.95, 5.81, 8.40, -42.77
13783, 0.02, -0.29, 1.00, 0.00, 15.12, -34.86
13784, -0.04, -0.15, 1.00, 13.16, 40.74, -17.01
13785, -0.16, -0.07, 0.94, 8.75, 34.86, -43.68
13786, -0.27, -0.14, 0.87, 4.62, 12.53, -63.21
13787, -0.25, -0.27, 0.85, -13.79, 7.00, -53.41
13788, -0.12, -0.36, 0.93, 0.42, 21.84, -28.63
13789, -0.09, -0.33, 1.03, 2.45, 40.95, -15.82
13790, -0.24, -0.37, 1.01, -10.50, 56.63, 5.88
13791, -0.34, -0.57, 1.12, 16.87, 41.86, 15.12
13792, -0.33, -0.67, 1.01, 98.63, 7.77, 26.11
13793, -0.31, -0.53, 0.92, 75.60, 1.96, 61.39
13794, -0.42, -0.36, 0.95, 60.62, 5.67, 106.40
13795, -0.29, -0.30, 0.70, 87.29, -9.03, 103.32
13796, -0.27, -0.19, 0.99, 61.32, -11.13, 92.54
13797, -0.29, -0.02, 1.07, 2.59, 19.88, 96.39
13798, -0.30, -0.03, 1.00, -29.75, 11.97, 100.38
13799, -0.29, -0.05, 0.96, -32.76, -19.18, 106.12
13800, -0.19, -0.11, 0.93, -28.00, -29.19, 111.37
13801, -0.14, -0.10, 0.95, -28.63, -17.57, 114.73
13802, -0.16, -0.04, 0.95, -41.09, -18.13, 109.20
13803, -0.16, -0.08, 0.96, -18.90, -24.08, 120.40
13804, -0.16, -0.02, 0.94, -5.81, -19.32, 136.22
13805, -0.19, 0.09, 1.02, 0.63, -14.84, 125.37
13806, -0.25, 0.19, 1.01, -12.60, 8.96, 104.58
13807, -0.39, 0.21, 1.02, -36.12, 31.99, 82.32
13808, -0.52, -0.04, 1.12, -71.19, 55.72, 44.17
13809, -0.71, -0.17, 1.07, -90.16, 19.46, 19.88
13810, -0.61, -0.21, 0.93, -70.28, -56.98, 5.39
13811, -0.44, -0.21, 0.89, -60.06, -103.74, -29.19
13812, -0.31, -0.25, 0.79, -73.71, -108.57, -33.67
13813, -0.22, -0.29, 1.14, -48.65, -37.73, -17.99
13814, -0.13, -0.33, 1.01, -34.30, -7.14, -24.22
13815, -0.14, -0.29, 0.92, -13.23, -13.79, -27.65
13816, -0.13, -0.20, 0.91, -8.96, -16.52, -28.84
13817, -0.09, -0.15, 0.87, -25.41, -0.77, -19.11
13818, -0.04, -0.15, 0.89, -39.13, -8.05, -19.32
13819, -0.09, -0.19, 0.81, -15.12, -10.85, -23.94
13820, -0.18, -0.25, 0.85, -3.99, -29.82, -31.15
13821, -0.21, -0.30, 0.88, 32.41, 1.40, -10.71
13822, -0.18, -0.31, 1.12, 29.82, 9.17, -9.03
13823, -0.15, -0.31, 1.10, 3.64, 42.70, 13.09
13824, -0.23, -0.52, 1.24, -8.68, 55.44, 29.96
13825, -0.27, -0.60, 1.08, 58.80, 24.92, 52.57
13826, -0.43, -0.47, 0.89, 100.73, 4.97, 103.18
13827, -0.39, -0.32, 0.77, 130.62, 2.94, 111.93
13828, -0.23, -0.26, 0.97, 93.59, 26.25, 94.22
13829, -0.26, -0.06, 0.99, 37.94, 66.99, 95.90
13830, -0.32, 0.03, 0.97, 14.70, 37.80, 93.17
13831, -0.28, 0.04, 0.92, -6.93, -0.28, 80.29
13832, -0.15, -0.01, 0.91, -19.95, -17.99, 79.73
13833, -0.12, 0.02, 0.96, -18.34, -8.05, 82.25
13834, -0.18, 0.00, 0.84, -27.02, -4.69, 88.83
13835, -0.27, -0.07, 0.83, 2.80, -34.09, 99.68
13836, -0.36, 0.12, 0.96, 9.10, -43.68, 87.64
13837, -0.34, 0.17, 1.07, -16.10, -22.33, 46.76
13838, -0.31, 0.09, 1.07, -77.14, 28.63, 2.80
13839, -0.50, -0.10, 1.28, -94.64, 76.44, -12.74
13840, -0.64, -0.10, 1.04, -84.49, 15.19, -29.33
13841, -0.60, -0.19, 0.92, -63.14, -48.58, -52.57
13842, -0.48, -0.15, 0.77, -89.18, -91.21, -67.41
13843, -0.31, -0.16, 0.96, -90.72, -57.89, -70.49
13844, -0.14, -0.27, 0.95, -90.65, -55.86, -105.00
13845, -0.14, -0.38, 0.96, -61.18, -41.30, -101.36
13846, 0.04, -0.43, 0.91, -19.95, -10.71, -81.06
13847, -0.04, -0.34, 0.91, 16.31, 20.37, -37.03
13848, -0.01, -0.25, 0.93, 16.45, 43.33, -22.82
13849, -0.08, -0.17, 0.76, 27.44, 41.44, -46.69
13850, -0.23, -0.21, 0.85, 32.90, 19.81, -61.11
13851, -0.15, -0.36, 0.90, 29.19, 28.28, -56.35
13852, -0.16, -0.38, 1.10, 35.21, 56.21, -39.76
13853, -0.21, -0.45, 1.13, 15.82, 87.22, -12.53
13854, -0.34, -0.55, 1.17, 45.15, 70.77, 9.87
13855, -0.42, -0.56, 1.01, 90.51, 28.28, 49.77
13856, -0.54, -0.36, 0.88, 117.11, 18.90, 98.28
13857, -0.41, -0.28, 0.68, 122.29, 26.60, 107.80
13858, -0.26, -0.17, 1.03, 70.63, 28.42, 86.73
13859, -0.32, 0.02, 0.98, 15.54, 54.53, 84.63
13860, -0.37, 0.05, 0.94, -1.47, 27.51, 77.00
13861, -0.31, 0.04, 0.89, -17.15, -6.02, 64.61
13862, -0.19, -0.01, 0.93, -23.80, -10.78, 64.40
13863, -0.18, 0.02, 0.79, -25.62, -3.78, 70.49
13864, -0.29, -0.11, 0.83, -8.96, -29.12, 89.25
13865, -0.36, 0.04, 0.84, 10.64, -56.28, 88.69
13866, -0.38, 0.13, 1.01, 1.68, -49.91, 62.93
13867, -0.38, 0.16, 1.13, -45.36, -4.27, 4.90
13868, -0.47, -0.02, 1.28, -105.49, 63.77, -32.97
13869, -0.68, -0.08, 1.14, -112.91, 25.06, -53.27
13870, -0.68, -0.20, 0.87, -85.26, -52.85, -71.82
13871, -0.54, -0.16, 0.79, -88.48, -95.97, -79.80
13872, -0.32, -0.20, 0.88, -104.72, -61.60, -92.26
13873, -0.18, -0.33, 0.95, -102.83, -53.83, -122.64
13874, -0.12, -0.45, 0.91, -59.92, -41.65, -115.50
13875, 0.00, -0.43, 0.89, -17.36, -27.09, -83.30
13876, 0.02, -0.32, 0.91, 3.57, -9.80, -52.22
13877, 0.04, -0.27, 0.94, 0.70, 29.61, -36.96
13878, -0.08, -0.21, 0.73, 20.09, 21.63, -41.86
13879, -0.23, -0.23, 0.86, 25.90, 4.48, -64.96
13880, -0.14, -0.39, 0.91, 25.48, 8.19, -61.46
13881, -0.07, -0.49, 1.09, 27.37, 44.31, -36.96
13882, -0.13, -0.48, 1.14, 12.18, 90.44, 4.83
13883, -0.29, -0.65, 1.19, 53.62, 80.71, 26.11
13884, -0.41, -0.63, 0.97, 124.25, 32.83, 76.02
13885, -0.51, -0.37, 0.83, 142.80, 24.64, 114.94
13886, -0.36, -0.29, 0.79, 129.50, 41.37, 101.36
13887, -0.32, -0.16, 0.99, 64.61, 55.23, 82.95
13888, -0.38, -0.03, 0.88, 29.40, 67.06, 81.20
13889, -0.44, 0.04, 0.89, 19.88, 12.18, 64.96
13890, -0.30, 0.03, 0.86, -6.02, -30.45, 47.32
13891, -0.14, 0.02, 0.94, -18.76, -31.36, 39.97
13892, -0.12, 0.07, 0.95, -34.30, -14.07, 44.45
