timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.59,-0.07,0.91,-50.89,-52.71,-57.26
20,-0.42,-0.1,0.89,-63.28,-63.56,-63.42
40,-0.19,-0.15,1.04,-74.13,-41.09,-94.5
60,-0.07,-0.19,0.94,-76.37,-53.13,-112.98
80,0.05,-0.3,0.98,-59.71,-39.55,-118.65
100,0.06,-0.32,0.97,-31.01,-20.23,-100.94
120,0.07,-0.25,0.9,-10.85,8.19,-75.6
140,0.07,-0.23,0.86,-20.23,20.79,-80.71
160,-0.09,-0.3,0.81,-17.22,16.17,-88.55
180,-0.18,-0.35,0.84,-6.93,-10.36,-95.9
200,-0.0,-0.24,0.92,30.1,-5.6,-76.44
220,0.07,-0.33,1.13,-30.45,-8.33,-70.56
240,0.16,-0.48,1.08,-61.81,35.49,-30.59
260,-0.06,-0.66,1.25,-0.49,43.05,-10.01
280,-0.16,-0.63,0.95,43.47,-19.39,-17.99
300,-0.16,-0.52,0.95,23.1,-31.08,11.76
320,-0.09,-0.51,0.78,56.7,-32.9,41.23
340,0.13,-0.55,0.78,53.9,-28.28,37.45
360,0.08,-0.44,0.9,32.83,-3.29,71.68
380,0.1,-0.44,0.93,30.87,-3.15,91.35
400,0.15,-0.39,0.84,55.44,17.78,117.39
420,0.11,-0.12,0.86,117.11,31.01,158.34
440,0.11,0.05,1.11,106.75,11.48,168.0
460,0.04,0.16,0.98,79.59,29.82,158.13
480,-0.09,0.04,0.96,54.88,10.29,150.08
500,-0.14,0.17,0.99,46.13,0.28,119.35
520,-0.18,0.22,1.11,6.58,9.24,76.51
540,-0.19,0.17,1.07,-58.1,31.01,28.14
560,-0.19,-0.12,1.32,-84.28,70.42,-12.25
580,-0.46,-0.13,1.1,-71.89,50.05,-10.85
600,-0.49,-0.19,0.85,-58.66,-32.62,-36.19
620,-0.41,-0.13,0.86,-74.9,-70.7,-47.67
640,-0.21,-0.08,1.17,-72.59,-43.96,-92.96
660,-0.04,-0.15,1.02,-76.09,-32.13,-123.34
680,0.05,-0.31,1.01,-63.14,-43.12,-122.71
700,0.15,-0.28,0.9,-52.43,-31.08,-95.48
720,0.18,-0.27,0.92,-45.99,-5.11,-68.04
740,0.11,-0.27,0.78,-28.28,19.11,-69.86
760,-0.09,-0.29,0.8,-6.79,8.33,-80.78
780,-0.03,-0.47,0.87,14.21,6.86,-89.04
800,0.02,-0.4,0.97,30.87,37.73,-64.82
820,0.09,-0.42,1.09,6.44,59.78,-29.61
840,0.03,-0.51,1.15,-17.64,101.36,9.03
860,-0.2,-0.78,1.25,63.84,72.59,31.22
880,-0.35,-0.63,0.97,96.11,13.3,58.87
900,-0.29,-0.39,0.73,136.99,30.73,96.67
920,-0.09,-0.33,0.85,127.4,35.56,91.63
940,-0.17,-0.16,0.97,80.36,30.45,107.24
960,-0.18,-0.03,1.0,39.48,12.32,99.47
980,-0.11,-0.03,0.94,16.24,2.87,87.99
1000,-0.04,0.01,0.92,7.28,-2.66,79.52
1020,-0.05,0.01,0.95,11.76,-4.9,78.68
1040,-0.11,-0.03,0.86,23.1,-9.73,99.4
1060,-0.19,-0.01,0.93,24.85,-38.57,98.63
1080,-0.2,0.08,1.1,12.74,-25.9,77.84
1100,-0.19,0.17,1.13,-23.8,8.96,25.62
1120,-0.19,0.08,1.16,-93.1,65.45,-19.11
1140,-0.46,-0.09,1.26,-86.73,68.46,-28.91
1160,-0.57,-0.07,1.05,-77.07,-6.44,-60.83
1180,-0.38,-0.28,0.77,-81.76,-58.1,-105.28
1200,-0.36,-0.21,0.96,-77.21,-54.67,-113.19
1220,-0.14,-0.23,1.06,-79.52,-18.13,-151.34
1240,-0.06,-0.32,0.95,-62.44,-6.86,-165.76
1260,0.01,-0.36,0.92,-27.23,-9.24,-157.29
1280,0.06,-0.32,0.9,-1.33,3.71,-130.13
1300,0.13,-0.29,0.89,2.94,19.95,-108.92
1320,0.0,-0.27,0.77,16.87,35.84,-109.83
1340,-0.1,-0.5,0.85,14.63,1.68,-114.38
1360,-0.07,-0.38,0.86,26.53,11.13,-78.4
1380,0.04,-0.4,1.1,5.88,16.52,-55.44
1400,0.08,-0.4,1.03,-27.23,64.26,-17.01
1420,-0.06,-0.52,1.15,-43.68,82.53,-5.46
1440,-0.21,-0.73,1.1,61.67,33.32,16.31
1460,-0.32,-0.58,0.97,86.87,-7.49,49.77
1480,-0.26,-0.41,0.8,110.39,8.4,84.35
1500,-0.08,-0.36,0.9,103.25,12.39,87.92
1520,-0.1,-0.2,1.05,58.38,31.57,87.36
1540,-0.2,-0.07,0.96,31.08,32.06,94.99
1560,-0.2,-0.02,0.91,13.44,0.98,80.5
1580,-0.05,-0.04,0.9,0.49,-13.58,63.14
1600,0.02,-0.02,0.96,8.33,6.72,64.61
1620,-0.09,-0.02,0.87,12.53,13.3,72.94
1640,-0.22,-0.09,0.91,22.54,-19.88,79.52
1660,-0.26,-0.05,0.91,12.11,-24.57,78.89
1680,-0.21,-0.0,1.04,-6.58,-15.96,54.74
1700,-0.2,0.05,1.06,-57.75,25.34,21.35
1720,-0.25,-0.08,1.19,-89.11,82.88,-9.24
1740,-0.5,-0.14,1.17,-75.81,61.6,-33.11
1760,-0.54,-0.18,0.97,-77.49,-2.59,-60.55
1780,-0.45,-0.3,0.75,-96.95,-77.14,-77.98
1800,-0.35,-0.25,1.0,-95.97,-73.78,-74.62
1820,-0.15,-0.35,1.04,-73.36,-22.4,-101.29
1840,-0.07,-0.39,0.93,-43.19,-18.13,-108.71
1860,-0.01,-0.38,0.88,-11.34,-33.74,-98.56
1880,0.04,-0.25,0.92,0.49,-20.58,-81.13
1900,0.08,-0.23,0.89,-13.79,5.67,-72.45
1920,-0.04,-0.26,0.78,0.49,1.54,-81.2
1940,-0.13,-0.39,0.83,14.84,-17.15,-92.4
1960,-0.07,-0.45,0.88,27.93,-4.62,-66.85
1980,0.02,-0.47,1.1,25.48,28.21,-42.49
2000,0.04,-0.51,1.1,-10.29,71.47,-2.94
2020,-0.08,-0.73,1.31,36.05,81.69,11.97
2040,-0.21,-0.68,0.97,118.58,34.3,53.62
2060,-0.37,-0.48,0.94,116.83,25.2,90.44
2080,-0.27,-0.3,0.7,134.26,53.97,103.67
2100,-0.15,-0.25,0.88,108.36,44.59,87.99
2120,-0.23,-0.08,0.98,66.36,49.77,99.33
2140,-0.27,0.04,0.92,38.78,30.17,94.85
2160,-0.25,0.04,0.96,19.53,-11.97,74.2
2180,-0.08,0.07,0.96,-5.18,-23.87,57.12
2200,-0.03,0.04,1.01,-18.2,-12.25,57.47
2220,-0.12,-0.01,0.89,-15.05,-17.71,79.03
2240,-0.17,-0.09,0.89,1.54,-41.02,99.12
2260,-0.23,0.06,0.93,-8.19,-28.0,91.49
2280,-0.23,0.1,1.04,-25.83,-6.79,60.76
