timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.1,-0.5,0.73,2.03,23.03,-3.71
20,0.11,-0.47,0.82,21.28,26.39,-3.78
40,0.2,-0.56,0.85,12.32,51.52,-24.92
60,-0.01,-0.31,1.0,-23.24,50.89,-21.35
80,-0.1,-0.3,0.91,-60.62,41.23,-15.12
100,-0.12,-0.41,0.99,-39.2,39.34,-21.7
120,-0.07,-0.44,0.93,-31.29,43.26,-25.62
140,-0.03,-0.49,0.92,-29.33,57.4,-37.45
160,-0.08,-0.55,0.86,-13.65,44.38,-41.93
180,-0.13,-0.57,0.87,-6.44,36.61,-31.36
200,-0.13,-0.5,0.98,2.03,30.03,-21.28
220,-0.13,-0.48,0.94,-0.14,16.52,-17.92
240,-0.13,-0.47,0.94,1.47,10.78,-14.07
260,-0.16,-0.48,0.89,5.18,6.72,-16.59
280,-0.16,-0.5,0.88,14.84,-2.87,-14.98
300,-0.12,-0.48,0.9,14.98,-11.83,-10.92
320,-0.1,-0.44,0.94,12.32,-13.58,-8.19
340,-0.07,-0.44,0.96,9.1,-14.98,-5.74
360,-0.04,-0.44,0.95,6.44,-14.07,-3.29
380,-0.02,-0.42,0.94,6.51,-10.5,-4.34
400,-0.0,-0.42,0.93,2.8,-6.23,-7.7
420,-0.01,-0.41,0.93,0.98,-4.13,-9.52
440,-0.01,-0.42,0.93,3.85,-3.78,-10.15
460,0.02,-0.41,0.92,3.57,-1.61,-9.87
480,0.03,-0.43,0.92,4.48,3.15,-14.42
500,-0.03,-0.44,0.94,4.34,5.67,-21.84
520,-0.04,-0.43,0.92,-1.19,7.14,-20.02
540,-0.02,-0.42,0.93,-0.7,9.17,-15.82
560,-0.01,-0.42,0.94,-3.5,9.73,-13.58
580,-0.01,-0.43,0.93,-6.16,8.96,-13.16
600,-0.02,-0.43,0.94,-6.65,5.95,-13.3
620,-0.02,-0.45,0.93,-5.11,3.36,-13.16
640,-0.04,-0.44,0.93,1.54,1.96,-8.4
660,-0.04,-0.42,0.92,0.49,-3.71,-4.69
680,-0.03,-0.41,0.93,-2.94,-6.16,-1.89
700,-0.01,-0.41,0.93,-5.81,-5.25,-0.77
720,-0.0,-0.43,0.93,-5.95,-2.38,-2.8
740,0.0,-0.45,0.94,-4.97,0.56,-5.39
760,-0.01,-0.44,0.94,-5.32,2.59,-4.27
780,0.0,-0.45,0.91,-4.9,2.1,-5.74
800,-0.01,-0.44,0.92,-7.56,3.43,-2.59
820,-0.03,-0.44,0.93,-6.44,1.33,2.24
840,-0.03,-0.45,0.93,-4.62,-0.91,3.36
860,-0.03,-0.45,0.94,-2.1,-2.38,3.99
880,-0.02,-0.45,0.92,-1.47,-2.31,4.34
900,-0.02,-0.46,0.92,-1.05,-3.43,3.36
920,-0.01,-0.45,0.92,-2.73,-2.52,3.15
940,-0.02,-0.46,0.91,-0.42,-2.94,1.96
960,-0.02,-0.46,0.92,0.07,-3.5,2.31
980,-0.01,-0.46,0.92,1.12,-2.38,3.22
1000,-0.01,-0.46,0.93,-1.33,-1.19,4.13
1020,-0.01,-0.46,0.93,-2.59,-0.21,4.97
1040,-0.04,-0.47,0.92,-0.49,-2.73,3.57
1060,-0.04,-0.47,0.92,0.49,-3.43,4.48
1080,-0.02,-0.46,0.93,1.75,-2.8,4.2
1100,-0.01,-0.45,0.92,0.56,0.84,2.66
1120,-0.02,-0.45,0.91,0.7,3.85,1.4
1140,0.01,-0.45,0.92,-6.93,6.65,2.52
1160,-0.01,-0.44,0.92,-12.67,10.43,2.73
1180,-0.03,-0.46,0.92,-14.7,11.41,0.21
1200,-0.01,-0.47,0.91,-18.2,11.62,1.05
1220,-0.01,-0.49,0.9,-21.63,15.89,2.38
1240,-0.03,-0.49,0.89,-21.7,15.96,0.56
1260,-0.06,-0.5,0.89,-20.86,13.79,3.43
1280,-0.09,-0.51,0.89,-15.89,7.42,5.32
1300,-0.11,-0.49,0.88,-14.14,-0.14,9.59
1320,-0.1,-0.52,0.88,-12.74,-7.7,15.33
1340,-0.08,-0.49,0.88,-10.01,-9.73,15.12
1360,-0.07,-0.52,0.88,-11.83,-11.48,11.69
1380,-0.06,-0.54,0.88,-8.19,-13.09,13.23
1400,-0.07,-0.55,0.88,-5.18,-11.34,11.97
1420,-0.07,-0.54,0.88,-0.77,-7.91,11.69
1440,-0.05,-0.53,0.89,-2.52,-6.86,11.83
1460,-0.05,-0.52,0.89,-3.29,-5.81,10.71
1480,-0.08,-0.53,0.88,-0.63,-9.1,12.11
