timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.11,-0.44,0.97,-75.53,-44.66,-35.49
20,-0.04,-0.48,0.87,-69.16,-46.97,-47.18
40,-0.01,-0.49,0.82,-45.01,-39.62,-51.31
60,0.02,-0.52,0.94,-33.39,-18.41,-50.33
80,0.02,-0.54,0.9,-28.14,-14.42,-51.94
100,0.13,-0.52,0.84,-17.57,-28.7,-61.04
120,0.18,-0.48,0.88,-25.69,-28.56,-58.59
140,0.22,-0.46,0.91,-48.58,-11.34,-60.55
160,0.14,-0.47,0.86,-32.69,13.65,-84.84
180,0.03,-0.57,0.85,-4.27,17.71,-81.69
200,0.0,-0.64,0.76,-8.33,5.81,-59.22
220,0.04,-0.63,0.81,-5.53,20.09,-29.05
240,0.11,-0.55,0.79,3.29,44.17,-5.18
260,0.09,-0.5,0.83,-4.06,45.92,-6.93
280,0.08,-0.6,0.9,-17.15,36.12,-18.41
300,0.07,-0.81,0.91,40.67,24.85,-21.35
320,-0.03,-0.78,0.83,21.49,29.82,0.35
340,-0.01,-0.71,0.82,46.48,18.48,2.8
360,-0.02,-0.69,0.83,44.03,8.54,-0.28
380,-0.03,-0.67,0.81,47.53,-1.68,11.83
400,-0.03,-0.61,0.83,57.12,-15.12,26.25
420,-0.01,-0.55,0.9,60.13,-27.3,31.85
440,0.03,-0.49,0.92,49.84,-36.75,35.21
460,0.07,-0.44,0.89,37.17,-34.23,39.76
480,0.1,-0.4,0.85,24.57,-29.82,38.15
500,0.12,-0.43,0.85,15.61,-24.85,29.12
520,0.13,-0.43,0.92,7.42,-22.96,31.43
540,0.15,-0.41,0.92,-7.28,-11.13,39.41
560,0.16,-0.4,0.93,-12.39,-9.66,40.11
580,0.19,-0.4,0.96,-17.15,-13.37,39.55
600,0.19,-0.45,0.96,-14.14,-5.32,44.38
620,0.15,-0.5,0.88,2.31,8.4,50.47
640,0.03,-0.47,0.83,4.83,-2.59,67.48
660,0.03,-0.42,0.87,1.05,-13.09,67.13
680,0.09,-0.39,0.92,-6.72,-3.64,54.95
700,0.11,-0.4,0.91,-15.96,7.77,53.41
720,0.09,-0.4,0.91,-21.98,20.58,60.76
740,0.06,-0.44,0.89,-34.65,38.15,63.49
760,0.03,-0.59,0.96,-36.54,44.38,51.73
780,-0.24,-0.58,0.95,-15.75,51.31,47.18
800,-0.26,-0.57,0.87,-19.74,22.47,29.89
820,-0.24,-0.55,0.86,-3.08,4.9,22.26
840,-0.26,-0.46,0.89,-3.22,-3.99,6.02
860,-0.22,-0.51,0.85,-14.91,-16.38,-20.37
880,-0.18,-0.55,0.82,-17.36,-24.22,-37.66
900,-0.16,-0.59,0.88,-39.97,-45.71,-50.4
920,-0.06,-0.56,0.92,-43.33,-48.72,-40.88
940,0.01,-0.53,0.82,-31.71,-57.4,-44.24
960,0.05,-0.46,0.9,-8.47,-30.52,-52.43
980,0.05,-0.53,0.92,-21.28,5.18,-68.6
1000,0.08,-0.59,0.83,-25.97,2.8,-77.49
1020,0.09,-0.6,0.81,-20.3,3.71,-78.75
1040,0.13,-0.52,0.83,-23.03,11.41,-76.37
1060,0.2,-0.46,0.82,-48.23,-5.32,-96.53
1080,0.25,-0.56,0.87,-59.99,5.6,-110.67
1100,0.19,-0.65,0.86,-32.83,40.39,-104.51
1120,0.13,-0.68,0.73,-7.77,53.2,-91.14
1140,0.12,-0.62,0.69,-14.0,36.68,-76.23
1160,0.16,-0.66,0.73,-23.52,33.18,-65.03
1180,0.17,-0.68,0.74,-7.98,46.9,-47.32
1200,0.24,-0.68,0.71,13.58,44.03,-44.59
1220,0.21,-0.75,0.83,22.96,42.42,-56.84
1240,0.14,-0.91,0.77,54.39,35.7,-55.65
1260,0.06,-0.82,0.75,39.62,44.31,-40.88
1280,0.09,-0.75,0.8,62.23,33.25,-35.56
1300,0.09,-0.68,0.78,43.75,32.2,-26.95
1320,0.05,-0.59,0.76,46.55,17.29,-17.64
1340,0.06,-0.55,0.81,41.09,-0.07,-17.36
1360,0.1,-0.5,0.85,34.65,-9.59,-15.61
1380,0.14,-0.48,0.89,25.97,-10.43,-14.14
1400,0.16,-0.48,0.91,12.18,-5.11,-16.66
1420,0.16,-0.5,0.89,5.74,-3.64,-11.55
1440,0.17,-0.52,0.88,11.97,-4.27,-4.48
1460,0.18,-0.51,0.9,23.1,-4.9,1.33
1480,0.17,-0.49,0.9,29.05,-2.52,8.26
1500,0.15,-0.48,0.9,27.86,-5.6,12.18
1520,0.16,-0.48,0.86,15.19,-10.5,10.43
1540,0.14,-0.48,0.87,11.06,-17.01,10.64
1560,0.15,-0.46,0.88,7.49,-15.19,3.92
1580,0.14,-0.44,0.85,3.85,-18.9,-1.47
1600,0.15,-0.45,0.85,10.5,-23.17,7.14
1620,0.15,-0.43,0.91,1.61,-31.85,2.1
1640,0.21,-0.43,0.93,-16.45,-31.43,-0.98
1660,0.25,-0.46,0.87,-21.14,-21.0,0.0
1680,0.26,-0.49,0.89,-13.44,-21.21,6.79
1700,0.28,-0.5,0.9,-6.44,-14.21,9.59
1720,0.28,-0.48,0.91,2.03,-2.94,10.78
1740,0.32,-0.47,0.88,-3.01,9.03,5.25
1760,0.33,-0.49,0.87,4.27,19.39,6.72
1780,0.32,-0.45,0.88,19.81,22.19,11.97
1800,0.31,-0.42,0.88,35.91,26.39,15.54
1820,0.29,-0.38,0.91,35.84,23.8,17.78
1840,0.28,-0.35,0.92,27.93,21.63,21.77
1860,0.29,-0.36,0.94,24.22,23.45,23.66
1880,0.29,-0.34,0.94,13.09,24.36,24.57
1900,0.31,-0.35,0.93,5.74,31.85,25.55
1920,0.29,-0.36,0.9,6.79,41.86,31.22
1940,0.27,-0.34,0.91,5.88,42.28,37.38
1960,0.25,-0.35,0.9,-1.05,44.66,36.19
1980,0.22,-0.38,0.86,-5.88,43.26,35.84
2000,0.19,-0.36,0.86,1.47,49.35,46.62
2020,0.18,-0.45,0.95,-7.14,40.46,32.62
2040,-0.06,-0.52,1.08,6.37,65.31,6.93
2060,-0.2,-0.47,0.92,5.18,34.3,-3.08
2080,-0.23,-0.37,0.94,3.29,4.27,-17.57
2100,-0.16,-0.27,0.99,-20.37,-13.93,-38.85
2120,-0.05,-0.32,0.99,-87.15,-36.96,-80.64
2140,-0.01,-0.35,0.97,-77.7,-42.84,-93.03
2160,0.13,-0.44,0.98,-57.33,-5.67,-83.79
2180,0.13,-0.53,0.96,-63.07,39.27,-74.97
2200,0.08,-0.55,0.86,-34.3,35.35,-78.05
2220,0.11,-0.49,0.84,-18.83,20.65,-76.02
