timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.91,-0.8,0.73,92.75,25.83,50.47
20,-0.06,-0.57,0.63,47.67,37.8,106.68
40,0.81,-0.59,-0.52,60.41,144.62,4.97
60,-0.06,-0.92,1.37,56.35,-119.07,113.4
80,0.29,-0.54,0.17,-44.52,-32.2,89.46
100,0.29,-0.91,0.74,22.47,-47.25,78.47
120,0.56,-0.38,0.52,24.92,31.08,72.38
140,0.38,-0.51,0.86,-106.75,57.61,59.01
160,0.37,-1.12,0.72,-68.25,53.41,27.58
180,0.3,-1.07,0.55,-13.72,91.63,6.93
200,0.18,-1.02,0.55,-1.33,68.74,-15.33
220,-0.01,-0.84,0.61,13.44,18.2,-57.4
240,0.15,-0.82,0.71,-22.05,3.29,-94.92
260,0.48,-1.11,0.55,-53.34,67.27,-93.24
280,0.3,-1.04,0.37,14.56,55.65,-79.1
300,0.26,-0.81,0.45,52.78,44.94,-72.17
320,0.22,-0.63,0.49,45.01,36.96,-67.83
340,0.17,-0.55,0.55,14.42,8.47,-83.02
360,0.07,-0.5,0.51,8.26,-31.08,-110.32
380,0.08,-0.61,0.39,-20.51,-89.74,-101.43
400,0.23,-0.78,0.51,-60.34,-125.65,-79.73
420,0.47,-0.88,0.55,-71.75,-86.17,-35.84
440,0.51,-0.81,0.58,-79.31,-30.38,2.45
460,0.65,-0.77,0.37,-24.29,1.68,6.23
480,0.65,-0.84,0.43,-24.15,13.86,-2.03
500,0.55,-0.79,0.38,-51.17,32.27,5.32
520,0.44,-0.98,0.48,-25.83,18.55,-17.78
540,0.59,-0.94,0.26,-35.28,-13.51,-21.91
560,0.56,-0.92,0.47,30.45,-11.83,-10.92
580,0.5,-0.7,0.51,25.83,-15.47,-10.01
600,0.47,-0.64,0.35,15.33,-53.27,-24.5
620,0.57,-0.97,0.26,-48.65,-64.61,-31.57
640,0.56,-1.01,0.24,14.21,6.65,38.99
660,0.63,-0.83,0.24,72.87,-26.32,45.08
680,0.53,-0.6,0.57,93.52,-7.77,58.8
700,0.62,-0.56,0.49,56.63,13.58,52.78
720,0.63,-0.63,0.41,44.73,27.37,59.57
740,0.59,-0.67,0.49,53.69,16.03,70.21
760,0.32,-0.41,0.51,92.68,29.33,71.47
780,0.38,-0.68,0.53,-10.15,-29.68,39.2
800,0.35,-0.87,0.43,-15.05,1.54,49.35
820,0.3,-0.8,0.29,5.67,9.59,86.94
840,0.32,-0.65,0.64,25.2,-6.37,76.3
860,0.53,-0.71,0.65,-31.92,5.88,53.27
880,0.24,-1.01,0.79,-43.47,25.06,-12.25
900,0.07,-0.83,0.56,-8.89,11.06,-8.12
920,0.31,-0.99,0.54,-38.5,-17.22,-39.34
940,0.47,-0.93,0.45,-22.26,-28.7,-48.51
960,0.49,-1.08,0.46,-23.45,-5.25,-49.77
980,0.42,-0.94,0.34,4.9,16.52,-23.38
1000,0.38,-0.8,0.51,18.97,6.65,-44.38
1020,0.34,-0.64,0.6,41.44,25.69,-46.83
1040,0.36,-0.47,0.42,48.09,19.67,-48.65
1060,0.35,-0.4,0.5,23.17,-28.0,-63.77
1080,0.46,-0.45,0.59,-39.76,-49.84,-59.36
1100,0.5,-0.6,0.59,-72.94,-33.18,-55.44
1120,0.44,-0.75,0.41,-84.0,-27.93,-55.65
1140,0.47,-0.85,0.42,-29.33,-52.57,-36.75
1160,0.58,-0.92,0.37,-15.68,-3.78,0.21
1180,0.56,-0.88,0.27,-26.74,28.98,29.82
1200,0.51,-1.04,0.44,-2.17,38.43,28.0
1220,0.71,-1.07,0.31,-52.22,29.19,-17.15
1240,0.48,-0.95,0.37,104.86,-24.29,31.22
1260,0.57,-1.13,0.32,-39.34,-67.13,-21.42
1280,0.39,-1.22,0.34,-11.62,-4.27,22.96
