timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.31,-0.44,0.8,-16.17,27.44,77.98
20,0.4,-0.61,0.7,-61.88,30.94,42.77
40,0.24,-0.88,0.84,-60.27,47.95,-31.99
60,0.05,-0.72,0.8,-71.96,9.17,-56.98
80,0.16,-0.83,0.62,-77.07,-13.51,-81.83
100,0.1,-0.89,0.62,-48.16,-53.13,-86.24
120,0.31,-0.73,0.71,-2.03,-55.51,-67.76
140,0.45,-0.89,0.73,-11.76,10.01,-49.42
160,0.52,-0.81,0.62,-29.19,-7.35,-65.45
180,0.43,-0.77,0.65,15.54,25.9,-51.73
200,0.41,-0.57,0.56,21.21,33.25,-49.42
220,0.39,-0.4,0.59,-12.81,-6.23,-69.23
240,0.47,-0.46,0.67,-27.3,-11.27,-63.07
260,0.53,-0.52,0.68,-44.31,1.05,-52.57
280,0.41,-0.49,0.5,-63.77,17.15,-65.24
300,0.32,-0.63,0.6,-78.68,-44.45,-76.58
320,0.49,-0.79,0.36,-0.56,-16.8,-40.74
340,0.58,-0.91,0.38,-23.17,7.21,15.61
360,0.53,-1.01,0.82,86.03,42.28,39.9
380,0.72,-1.01,0.44,-19.88,42.35,-21.0
400,0.41,-1.18,0.73,51.24,37.03,-3.5
420,0.28,-0.88,0.65,-1.4,12.6,15.33
440,0.19,-0.63,0.5,34.3,-20.93,19.95
460,0.32,-0.76,0.49,27.65,-41.37,24.92
480,0.4,-0.7,0.51,18.48,-35.35,43.26
500,0.33,-0.55,0.56,39.76,-27.79,67.27
520,0.56,-0.58,0.55,1.19,-56.84,54.18
540,0.69,-0.76,0.5,2.1,-9.45,67.55
560,0.56,-0.64,0.55,80.57,5.11,100.52
580,0.54,-0.49,0.66,72.52,-10.57,106.61
600,0.48,-0.46,0.72,69.79,0.56,100.66
620,0.26,-0.5,0.63,47.18,11.55,84.7
640,0.16,-0.55,0.63,49.77,1.54,108.99
660,0.21,-0.47,0.77,11.2,13.93,99.26
680,0.33,-0.59,0.71,-56.35,5.04,56.14
700,0.13,-1.0,0.95,-49.35,32.76,-14.42
720,-0.06,-0.66,0.73,-48.02,-6.93,-39.13
740,0.24,-0.74,0.64,-86.17,-25.62,-71.05
760,0.29,-1.0,0.57,-93.17,-54.25,-103.46
780,0.16,-0.97,0.61,-3.64,-12.39,-58.24
800,0.34,-0.84,0.58,-27.58,-14.56,-50.82
820,0.45,-0.78,0.68,0.49,11.69,-56.84
840,0.4,-0.69,0.61,24.36,26.88,-56.63
860,0.34,-0.58,0.47,8.19,8.68,-51.17
880,0.37,-0.49,0.6,-2.1,-44.31,-59.71
900,0.52,-0.52,0.65,-17.85,-35.21,-47.18
920,0.54,-0.51,0.56,-42.84,-9.03,-39.83
940,0.43,-0.54,0.65,-59.71,-24.15,-70.28
960,0.52,-0.67,0.4,-4.83,-3.08,-52.64
980,0.53,-0.89,0.36,-17.85,4.76,-10.22
1000,0.5,-1.01,0.71,47.6,31.22,27.02
1020,0.76,-1.08,0.43,-32.83,12.53,-20.3
1040,0.51,-1.3,0.59,15.4,36.47,-1.68
1060,0.07,-0.79,0.47,74.76,18.06,69.02
1080,0.18,-0.5,0.67,66.29,-59.01,41.65
1100,0.46,-0.92,0.44,-36.4,-41.86,7.42
1120,0.4,-0.93,0.34,8.75,-32.13,35.84
1140,0.42,-0.8,0.52,70.07,-45.64,74.69
1160,0.54,-0.58,0.53,68.95,-27.65,90.09
1180,0.63,-0.57,0.55,56.49,-17.5,91.28
1200,0.62,-0.57,0.59,62.09,-2.1,94.99
1220,0.56,-0.48,0.62,66.85,-2.73,105.42
1240,0.45,-0.49,0.7,54.95,-7.91,99.12
1260,0.26,-0.51,0.58,39.83,9.17,78.75
1280,0.08,-0.57,0.61,38.22,-15.96,92.12
1300,0.19,-0.55,0.7,10.22,-5.74,90.09
1320,0.33,-0.58,0.78,-39.83,5.32,70.07
1340,0.36,-0.97,0.83,-55.51,22.54,7.84
1360,0.1,-0.82,0.78,-43.54,24.22,-33.32
1380,0.15,-0.78,0.76,-91.21,-14.84,-63.14
1400,0.22,-0.98,0.43,-92.47,-34.72,-91.56
1420,0.1,-0.79,0.59,-1.12,-68.11,-78.89
1440,0.26,-0.87,0.73,-18.83,-4.13,-55.79
1460,0.45,-0.83,0.63,-34.51,20.86,-64.19
1480,0.4,-0.72,0.47,16.45,-6.72,-86.38
1500,0.35,-0.63,0.52,29.4,-9.52,-77.07
1520,0.41,-0.57,0.54,22.61,-0.63,-49.42
1540,0.47,-0.47,0.47,-27.37,-55.44,-77.77
1560,0.36,-0.58,0.62,-26.95,-42.0,-88.55
1580,0.35,-0.75,0.53,-24.5,-42.63,-67.97
1600,0.37,-0.79,0.51,-31.92,-68.95,-35.35
1620,0.64,-0.59,0.45,-11.55,-29.82,-13.23
1640,0.6,-0.72,0.46,3.85,23.17,14.35
1660,0.55,-0.88,0.6,12.67,31.01,35.7
1680,0.62,-0.92,0.34,-39.83,11.9,17.01
1700,0.54,-1.09,0.58,23.38,14.84,3.92
1720,0.5,-1.09,0.54,22.89,-15.89,11.27
1740,0.48,-0.8,0.48,17.22,-22.05,24.08
1760,0.45,-0.62,0.46,36.89,-34.79,16.94
1780,0.43,-0.74,0.37,22.96,-34.51,33.39
1800,0.48,-0.77,0.43,26.46,-30.87,48.65
1820,0.52,-0.7,0.49,51.8,-5.53,68.18
1840,0.56,-0.55,0.49,60.27,9.8,81.13
1860,0.59,-0.55,0.52,56.49,10.43,82.25
1880,0.57,-0.63,0.58,61.67,7.07,85.75
1900,0.34,-0.6,0.53,73.5,2.38,78.47
1920,0.16,-0.64,0.55,58.8,-9.17,79.73
1940,0.15,-0.71,0.59,53.27,-0.49,92.82
1960,0.22,-0.64,0.57,37.24,5.04,110.39
1980,0.41,-0.58,0.76,2.59,7.77,105.98
2000,0.43,-0.58,0.78,-36.68,24.15,81.13
2020,0.35,-0.88,0.75,-48.51,52.64,32.69
2040,0.05,-0.89,0.66,-42.21,28.98,-18.76
2060,0.14,-0.84,0.65,-47.81,0.0,-50.4
2080,0.16,-0.86,0.62,-43.82,-6.65,-75.74
2100,0.11,-0.86,0.55,-40.74,-9.17,-76.23
2120,0.26,-0.9,0.53,-24.29,-58.24,-81.34
2140,0.31,-0.87,0.77,7.63,-33.67,-67.48
2160,0.44,-0.85,0.64,-11.9,13.93,-51.31
2180,0.48,-0.71,0.59,10.15,9.52,-75.04
2200,0.45,-0.66,0.56,15.96,13.58,-82.25
2220,0.4,-0.58,0.55,14.84,26.46,-66.64
2240,0.38,-0.5,0.58,-2.1,8.96,-59.85
2260,0.45,-0.48,0.62,-26.6,-34.79,-74.76
2280,0.52,-0.55,0.59,-42.91,-12.04,-50.82
2300,0.44,-0.5,0.51,-41.65,4.62,-49.63
2320,0.36,-0.63,0.59,-66.57,-53.76,-67.06
2340,0.56,-0.7,0.36,-27.93,-21.35,-43.96
2360,0.54,-0.88,0.39,-28.0,-6.44,-3.15
2380,0.55,-0.94,0.66,33.74,18.83,41.44
2400,0.71,-0.89,0.43,-17.36,7.42,9.8
2420,0.63,-1.14,0.58,15.96,36.96,-1.33
2440,0.45,-1.16,0.55,39.41,-1.26,15.61
2460,0.42,-0.77,0.54,35.56,-12.67,25.55
2480,0.33,-0.54,0.41,45.64,-25.27,23.31
2500,0.41,-0.65,0.4,13.51,-45.71,18.76
2520,0.5,-0.74,0.51,-0.42,-30.45,31.92
2540,0.55,-0.67,0.46,14.35,-9.24,55.65
2560,0.57,-0.6,0.48,26.39,0.49,67.83
2580,0.64,-0.57,0.5,27.86,10.22,70.84
2600,0.61,-0.58,0.51,46.34,17.29,81.41
2620,0.55,-0.54,0.62,47.88,0.35,87.01
2640,0.34,-0.53,0.55,32.69,9.73,67.06
2660,0.18,-0.66,0.52,27.93,4.62,76.09
2680,0.18,-0.64,0.52,14.91,-6.72,101.22
2700,0.32,-0.62,0.73,-1.33,6.02,102.2
2720,0.46,-0.74,0.7,-38.57,3.36,67.9
2740,0.24,-1.06,0.78,-31.08,27.79,-6.3
2760,0.18,-0.83,0.61,-40.11,-9.59,-38.71
2780,0.17,-0.9,0.61,-43.26,-16.8,-59.22
2800,0.06,-0.93,0.52,-27.3,-49.56,-70.56
2820,0.41,-0.79,0.49,6.37,-49.63,-77.56
2840,0.46,-1.02,0.64,-13.58,20.16,-61.95
2860,0.44,-0.81,0.66,2.24,23.66,-59.22
2880,0.47,-0.66,0.54,33.25,28.07,-63.14
2900,0.44,-0.56,0.48,29.54,33.18,-61.53
2920,0.4,-0.45,0.55,-9.31,-10.78,-76.58
2940,0.5,-0.49,0.64,-21.21,2.87,-68.25
2960,0.54,-0.5,0.55,-31.64,14.84,-47.04
2980,0.52,-0.5,0.48,-54.04,21.42,-52.01
3000,0.39,-0.58,0.58,-84.21,-15.12,-73.85
3020,0.48,-0.71,0.36,-23.24,-13.93,-57.33
3040,0.53,-0.94,0.29,-29.61,-5.53,-12.81
3060,0.54,-0.99,0.67,40.53,28.35,43.12
3080,0.73,-1.0,0.39,-31.64,21.0,2.45
3100,0.59,-1.24,0.66,36.96,42.14,-10.36
3120,0.36,-1.08,0.65,22.12,25.13,2.1
3140,0.26,-0.68,0.53,13.65,2.52,-0.91
3160,0.21,-0.66,0.34,26.11,-33.46,7.0
3180,0.37,-0.78,0.5,13.23,-62.3,19.39
3200,0.53,-0.78,0.51,12.11,-33.81,45.22
3220,0.55,-0.72,0.46,29.68,-20.93,67.69
3240,0.6,-0.64,0.47,43.96,-13.72,80.85
3260,0.64,-0.58,0.54,63.91,-2.73,94.36
3280,0.62,-0.5,0.59,73.08,10.43,94.36
3300,0.53,-0.42,0.6,69.16,7.28,96.6
3320,0.44,-0.47,0.68,47.67,9.59,80.08
3340,0.24,-0.62,0.54,26.46,23.66,75.32
3360,0.07,-0.58,0.59,39.2,3.15,106.96
3380,0.23,-0.58,0.64,-1.47,-3.78,111.37
3400,0.33,-0.55,0.76,-33.18,13.37,87.01
3420,0.42,-0.92,0.75,-59.43,29.26,34.93
3440,-0.01,-0.88,0.8,-31.01,13.44,-22.33
3460,0.1,-0.74,0.68,-80.78,-7.98,-46.34
3480,0.15,-1.02,0.55,-101.92,-39.9,-78.96
3500,0.15,-0.88,0.55,3.43,-62.93,-73.22
3520,0.2,-0.96,0.68,-15.12,-22.47,-63.7
3540,0.38,-0.88,0.63,-12.81,13.09,-57.47
3560,0.35,-0.74,0.6,28.21,-0.07,-69.58
