t,ax,ay,az,gx,gy,gz
14922, -0.36, -0.09, 0.94, 86.24, -13.09, 40.81
14923, -0.34, -0.20, 0.89, 82.46, -20.02, 35.21
14924, -0.20, -0.14, 0.84, 62.86, 10.64, 34.86
14925, -0.26, 0.09, 0.91, 27.51, 37.59, 69.93
14926, -0.42, 0.18, 1.02, -7.63, 33.25, 77.14
14927, -0.39, 0.14, 0.95, -45.64, 1.19, 59.85
14928, -0.24, -0.08, 1.03, -73.78, -36.26, 44.94
14929, -0.09, -0.33, 0.98, -59.85, -52.29, 45.43
14930, -0.07, -0.38, 0.97, -11.90, -17.29, 32.83
14931, -0.15, -0.16, 0.97, 20.37, 17.36, 45.01
14932, -0.21, -0.01, 0.97, 3.64, 30.73, 39.62
14933, -0.19, -0.07, 0.89, -5.18, 36.96, 35.84
14934, -0.23, -0.08, 0.91, -5.04, 25.13, 31.29
14935, -0.27, -0.12, 0.94, 1.33, 20.58, 30.03
14936, -0.30, -0.17, 0.98, 5.04, 35.63, 5.18
14937, -0.56, -0.16, 1.13, -8.40, 57.89, -10.15
14938, -0.70, -0.10, 1.04, -6.93, 5.39, -7.00
14939, -0.70, -0.03, 0.95, -14.21, -41.79, -19.18
14940, -0.60, -0.04, 0.94, -3.78, -74.83, -45.64
14941, -0.46, -0.07, 1.03, -4.13, -79.59, -61.95
14942, -0.29, -0.09, 0.81, -16.94, -66.22, -48.51
14943, -0.26, -0.15, 0.98, -18.27, -48.09, -31.01
14944, -0.24, -0.15, 1.03, -14.84, -12.81, -32.55
14945, -0.21, -0.12, 1.01, -15.54, 2.45, -42.28
14946, -0.18, -0.09, 0.97, -13.37, 7.42, -52.57
14947, -0.18, -0.08, 0.98, -12.46, 7.28, -66.43
14948, -0.16, -0.06, 0.98, -22.54, 9.66, -68.32
14949, -0.12, -0.08, 0.99, -35.70, 23.45, -65.45
14950, -0.14, -0.16, 0.91, -36.82, 19.53, -77.49
14951, -0.23, -0.26, 0.92, -20.44, 12.04, -84.91
14952, -0.22, -0.33, 0.87, -24.01, 7.77, -77.28
14953, -0.21, -0.35, 0.91, -13.65, 15.12, -63.42
14954, -0.17, -0.34, 0.92, -7.07, 23.31, -47.81
14955, -0.17, -0.33, 0.98, -17.43, 39.97, -47.46
14956, -0.20, -0.40, 0.93, -21.21, 47.25, -41.51
14957, -0.34, -0.46, 0.94, -1.96, 38.22, -16.87
14958, -0.41, -0.54, 0.99, 34.72, 2.17, -7.42
14959, -0.34, -0.48, 0.92, 72.31, -2.17, 8.12
14960, -0.29, -0.48, 1.07, 74.76, -1.89, 23.52
14961, -0.32, -0.32, 0.98, 65.87, -10.64, 55.02
14962, -0.33, -0.22, 0.96, 82.88, -35.28, 66.64
14963, -0.28, -0.12, 0.78, 90.16, -53.69, 56.28
14964, -0.20, -0.16, 0.95, 67.69, -52.15, 53.20
14965, -0.18, -0.05, 1.03, 34.44, -10.99, 51.03
14966, -0.16, -0.05, 1.02, 10.22, 6.09, 49.07
14967, -0.13, -0.04, 1.07, 2.45, 7.28, 43.61
14968, -0.10, -0.01, 1.03, -8.12, 2.31, 57.61
14969, -0.07, -0.06, 1.02, -15.12, 11.27, 67.69
14970, -0.11, -0.08, 0.90, -18.41, 17.08, 77.63
14971, -0.22, -0.12, 0.92, 6.02, 2.66, 86.87
14972, -0.26, -0.07, 0.90, 10.57, -11.97, 74.69
14973, -0.25, -0.05, 0.98, 9.17, -4.48, 49.84
14974, -0.24, -0.02, 0.90, 18.27, 10.36, 48.72
14975, -0.24, 0.02, 1.00, 7.14, 0.42, 49.28
14976, -0.24, 0.09, 1.01, 7.98, 21.42, 52.29
14977, -0.29, -0.01, 1.10, -34.86, 50.47, 10.22
14978, -0.56, -0.00, 1.17, -37.38, 64.75, 2.17
14979, -0.61, 0.01, 1.00, -27.86, -17.57, -4.76
14980, -0.56, 0.03, 1.06, -21.42, -59.78, -32.41
14981, -0.37, -0.06, 0.97, -29.82, -77.70, -48.16
14982, -0.27, -0.12, 0.89, -35.84, -64.26, -43.26
14983, -0.23, -0.18, 1.02, -24.29, -37.94, -27.44
14984, -0.22, -0.12, 1.00, -17.78, -2.03, -24.57
14985, -0.21, -0.08, 0.99, -13.09, 2.80, -37.73
14986, -0.17, -0.06, 0.97, -13.86, -6.51, -56.07
14987, -0.13, -0.04, 0.97, -27.09, -10.15, -62.93
14988, -0.09, -0.04, 0.98, -35.07, 4.34, -62.37
14989, -0.12, -0.07, 0.89, -33.81, 12.32, -67.41
14990, -0.20, -0.19, 0.94, -22.89, -2.80, -78.96
14991, -0.21, -0.31, 0.85, -25.62, -6.72, -68.32
14992, -0.26, -0.31, 0.92, -5.25, 5.25, -38.43
14993, -0.19, -0.24, 0.96, -9.52, 0.98, -36.82
14994, -0.14, -0.28, 1.01, -29.96, 40.32, -32.06
14995, -0.21, -0.29, 1.00, -32.13, 61.95, -23.45
14996, -0.33, -0.44, 1.02, -30.94, 46.41, -20.79
14997, -0.33, -0.53, 0.98, 23.10, 17.92, 1.40
14998, -0.34, -0.54, 1.02, 57.61, 4.90, 24.29
14999, -0.34, -0.40, 0.96, 53.69, -2.24, 58.31
15000, -0.33, -0.31, 0.99, 56.42, -9.87, 63.84
15001, -0.31, -0.22, 0.95, 59.92, -15.12, 54.74
15002, -0.30, -0.12, 0.83, 59.43, -21.91, 43.12
15003, -0.26, -0.14, 0.92, 37.03, -25.48, 44.24
15004, -0.20, -0.16, 0.98, 16.24, -13.79, 39.20
15005, -0.14, -0.15, 1.01, 7.35, 8.89, 41.58
15006, -0.14, -0.11, 1.00, 8.61, 13.58, 45.15
15007, -0.14, -0.08, 1.02, 15.12, 12.46, 52.22
15008, -0.15, -0.10, 0.92, 15.33, 14.49, 64.05
15009, -0.23, -0.10, 0.97, 32.55, 10.01, 78.05
15010, -0.35, -0.01, 1.00, 24.57, -0.28, 69.86
15011, -0.37, 0.00, 0.93, 6.93, -5.18, 46.83
15012, -0.27, -0.06, 0.92, -7.07, -10.50, 28.14
15013, -0.26, -0.04, 0.99, -4.48, 8.12, 29.12
15014, -0.27, -0.03, 0.98, -21.49, 37.45, 28.63
15015, -0.29, -0.12, 0.96, -29.68, 58.52, 19.25
15016, -0.39, -0.17, 0.97, -23.73, 79.17, 1.96
15017, -0.52, -0.05, 0.98, -14.63, 65.80, 0.77
15018, -0.58, -0.01, 0.94, -25.41, 26.11, 1.19
15019, -0.58, 0.02, 0.97, -35.28, -17.50, -7.70
15020, -0.53, -0.08, 0.92, -36.19, -38.01, -20.16
15021, -0.49, -0.11, 0.95, -31.78, -60.06, -24.85
15022, -0.42, -0.14, 0.98, -27.37, -63.35, -27.16
15023, -0.37, -0.13, 0.96, -27.16, -60.27, -26.60
15024, -0.32, -0.12, 0.96, -23.24, -52.08, -37.94
15025, -0.29, -0.11, 0.88, -25.97, -40.18, -32.48
15026, -0.24, -0.11, 0.91, -35.07, -29.47, -43.89
15027, -0.22, -0.20, 1.00, -52.92, -31.08, -59.85
15028, -0.20, -0.30, 0.99, -35.49, -24.78, -65.52
15029, -0.13, -0.30, 1.00, 1.26, 9.24, -45.08
15030, -0.21, -0.14, 0.92, 7.42, 2.10, -44.94
15031, -0.15, -0.18, 0.98, -21.35, -8.40, -52.50
15032, -0.13, -0.22, 1.01, -10.50, 7.70, -51.80
15033, -0.17, -0.19, 0.91, -3.15, 0.70, -65.10
15034, -0.19, -0.23, 0.93, -11.13, -18.27, -84.35
15035, -0.14, -0.33, 0.94, -25.97, -14.35, -72.52
15036, -0.16, -0.28, 0.97, -12.60, 1.61, -48.93
15037, -0.06, -0.29, 1.00, -27.44, -0.84, -57.12
15038, -0.08, -0.44, 0.99, -30.52, 12.04, -53.76
15039, -0.18, -0.51, 0.97, -16.94, 42.14, -26.95
15040, -0.33, -0.55, 1.00, 29.89, 16.94, -16.73
15041, -0.25, -0.48, 0.89, 35.21, 4.55, -4.97
15042, -0.29, -0.37, 0.94, 32.69, 10.01, 8.47
15043, -0.24, -0.37, 0.90, 32.20, -7.63, 7.00
15044, -0.20, -0.35, 0.93, 38.85, -16.94, 7.28
15045, -0.17, -0.32, 0.98, 39.20, -12.74, 8.82
15046, -0.16, -0.29, 1.03, 41.79, 0.56, 6.44
15047, -0.17, -0.25, 1.06, 42.56, -0.98, 0.42
15048, -0.15, -0.24, 1.06, 27.93, -1.68, 8.96
15049, -0.16, -0.20, 1.00, 17.92, 2.94, 20.79
15050, -0.18, -0.17, 0.95, 19.25, -18.06, 33.46
15051, -0.14, -0.22, 0.89, 22.61, -33.46, 43.40
15052, -0.08, -0.20, 0.90, 36.05, -34.02, 43.40
15053, -0.07, -0.11, 0.93, 32.83, -20.79, 49.77
15054, -0.15, -0.08, 1.04, 17.71, -10.50, 60.13
15055, -0.14, -0.10, 1.04, -14.63, -17.29, 68.53
15056, -0.10, -0.16, 1.00, -30.45, -27.23, 62.44
15057, -0.14, -0.16, 0.93, -23.73, -32.97, 59.36
15058, -0.14, -0.22, 1.03, -33.88, -54.74, 46.13
15059, -0.03, -0.26, 1.02, -42.00, -48.72, 39.55
15060, -0.01, -0.30, 0.98, -31.43, -22.05, 43.61
15061, -0.05, -0.29, 0.92, -13.72, -9.59, 41.58
15062, -0.01, -0.30, 0.95, 0.21, -2.24, 40.11
15063, -0.02, -0.27, 1.07, 6.09, 23.94, 15.89
15064, -0.35, -0.02, 1.17, 6.72, 38.57, 28.35
15065, -0.24, -0.21, 0.94, -22.75, 12.32, 33.88
15066, -0.21, -0.22, 0.98, -6.30, 5.74, 18.69
15067, -0.25, -0.24, 0.97, 2.31, -0.14, 3.99
15068, -0.24, -0.23, 0.97, 1.61, 1.89, -1.19
15069, -0.23, -0.21, 0.98, 12.46, 4.48, -6.23
15070, -0.25, -0.22, 1.01, 9.31, 1.96, -7.84
15071, -0.22, -0.19, 0.99, 7.21, 1.33, -8.33
15072, -0.17, -0.18, 1.02, 4.06, -3.71, -13.72
15073, -0.15, -0.19, 1.02, 1.89, 0.28, -13.37
