t,ax,ay,az,gx,gy,gz
23629, 0.34, -0.57, 0.46, 13.23, -0.28, -63.00
23630, 0.39, -0.49, 0.54, -5.74, -43.68, -77.49
23631, 0.57, -0.60, 0.63, -19.67, -24.99, -63.98
23632, 0.59, -0.59, 0.53, -23.38, -3.57, -40.81
23633, 0.52, -0.53, 0.49, -22.96, 17.92, -47.95
23634, 0.46, -0.69, 0.46, -73.08, -16.10, -66.43
23635, 0.54, -0.76, 0.38, -24.08, -20.58, -48.93
23636, 0.52, -0.95, 0.34, -10.22, 1.19, -5.74
23637, 0.53, -0.95, 0.51, 23.17, 13.16, 36.89
23638, 0.68, -0.98, 0.37, -27.93, 9.80, 14.98
23639, 0.63, -1.11, 0.54, 20.09, 40.46, 9.87
23640, 0.45, -1.05, 0.56, 41.02, 7.77, 10.78
23641, 0.37, -0.83, 0.52, 20.86, 10.29, 2.73
23642, 0.29, -0.66, 0.41, 31.08, -13.51, 2.66
23643, 0.30, -0.72, 0.37, 35.63, -31.99, 11.83
23644, 0.45, -0.75, 0.48, 5.88, -42.98, 17.22
23645, 0.53, -0.77, 0.45, 14.35, -20.23, 33.74
23646, 0.57, -0.73, 0.43, 39.62, -7.49, 53.27
23647, 0.60, -0.68, 0.43, 54.04, -0.21, 66.08
23648, 0.63, -0.65, 0.50, 75.74, 8.26, 73.08
