t,ax,ay,az,gx,gy,gz
7233, -0.59, -0.07, 0.91, -50.89, -52.71, -57.26
7234, -0.42, -0.10, 0.89, -63.28, -63.56, -63.42
7235, -0.19, -0.15, 1.04, -74.13, -41.09, -94.50
7236, -0.07, -0.19, 0.94, -76.37, -53.13, -112.98
7237, 0.05, -0.30, 0.98, -59.71, -39.55, -118.65
7238, 0.06, -0.32, 0.97, -31.01, -20.23, -100.94
7239, 0.07, -0.25, 0.90, -10.85, 8.19, -75.60
7240, 0.07, -0.23, 0.86, -20.23, 20.79, -80.71
7241, -0.09, -0.30, 0.81, -17.22, 16.17, -88.55
7242, -0.18, -0.35, 0.84, -6.93, -10.36, -95.90
7243, -0.00, -0.24, 0.92, 30.10, -5.60, -76.44
7244, 0.07, -0.33, 1.13, -30.45, -8.33, -70.56
7245, 0.16, -0.48, 1.08, -61.81, 35.49, -30.59
7246, -0.06, -0.66, 1.25, -0.49, 43.05, -10.01
7247, -0.16, -0.63, 0.95, 43.47, -19.39, -17.99
7248, -0.16, -0.52, 0.95, 23.10, -31.08, 11.76
7249, -0.09, -0.51, 0.78, 56.70, -32.90, 41.23
7250, 0.13, -0.55, 0.78, 53.90, -28.28, 37.45
7251, 0.08, -0.44, 0.90, 32.83, -3.29, 71.68
7252, 0.10, -0.44, 0.93, 30.87, -3.15, 91.35
7253, 0.15, -0.39, 0.84, 55.44, 17.78, 117.39
7254, 0.11, -0.12, 0.86, 117.11, 31.01, 158.34
7255, 0.11, 0.05, 1.11, 106.75, 11.48, 168.00
7256, 0.04, 0.16, 0.98, 79.59, 29.82, 158.13
7257, -0.09, 0.04, 0.96, 54.88, 10.29, 150.08
7258, -0.14, 0.17, 0.99, 46.13, 0.28, 119.35
7259, -0.18, 0.22, 1.11, 6.58, 9.24, 76.51
7260, -0.19, 0.17, 1.07, -58.10, 31.01, 28.14
7261, -0.19, -0.12, 1.32, -84.28, 70.42, -12.25
7262, -0.46, -0.13, 1.10, -71.89, 50.05, -10.85
7263, -0.49, -0.19, 0.85, -58.66, -32.62, -36.19
7264, -0.41, -0.13, 0.86, -74.90, -70.70, -47.67
7265, -0.21, -0.08, 1.17, -72.59, -43.96, -92.96
7266, -0.04, -0.15, 1.02, -76.09, -32.13, -123.34
7267, 0.05, -0.31, 1.01, -63.14, -43.12, -122.71
7268, 0.15, -0.28, 0.90, -52.43, -31.08, -95.48
7269, 0.18, -0.27, 0.92, -45.99, -5.11, -68.04
7270, 0.11, -0.27, 0.78, -28.28, 19.11, -69.86
7271, -0.09, -0.29, 0.80, -6.79, 8.33, -80.78
7272, -0.03, -0.47, 0.87, 14.21, 6.86, -89.04
7273, 0.02, -0.40, 0.97, 30.87, 37.73, -64.82
7274, 0.09, -0.42, 1.09, 6.44, 59.78, -29.61
7275, 0.03, -0.51, 1.15, -17.64, 101.36, 9.03
7276, -0.20, -0.78, 1.25, 63.84, 72.59, 31.22
7277, -0.35, -0.63, 0.97, 96.11, 13.30, 58.87
7278, -0.29, -0.39, 0.73, 136.99, 30.73, 96.67
7279, -0.09, -0.33, 0.85, 127.40, 35.56, 91.63
7280, -0.17, -0.16, 0.97, 80.36, 30.45, 107.24
7281, -0.18, -0.03, 1.00, 39.48, 12.32, 99.47
7282, -0.11, -0.03, 0.94, 16.24, 2.87, 87.99
7283, -0.04, 0.01, 0.92, 7.28, -2.66, 79.52
7284, -0.05, 0.01, 0.95, 11.76, -4.90, 78.68
7285, -0.11, -0.03, 0.86, 23.10, -9.73, 99.40
7286, -0.19, -0.01, 0.93, 24.85, -38.57, 98.63
7287, -0.20, 0.08, 1.10, 12.74, -25.90, 77.84
7288, -0.19, 0.17, 1.13, -23.80, 8.96, 25.62
7289, -0.19, 0.08, 1.16, -93.10, 65.45, -19.11
7290, -0.46, -0.09, 1.26, -86.73, 68.46, -28.91
7291, -0.57, -0.07, 1.05, -77.07, -6.44, -60.83
7292, -0.38, -0.28, 0.77, -81.76, -58.10, -105.28
7293, -0.36, -0.21, 0.96, -77.21, -54.67, -113.19
7294, -0.14, -0.23, 1.06, -79.52, -18.13, -151.34
7295, -0.06, -0.32, 0.95, -62.44, -6.86, -165.76
7296, 0.01, -0.36, 0.92, -27.23, -9.24, -157.29
7297, 0.06, -0.32, 0.90, -1.33, 3.71, -130.13
7298, 0.13, -0.29, 0.89, 2.94, 19.95, -108.92
7299, 0.00, -0.27, 0.77, 16.87, 35.84, -109.83
7300, -0.10, -0.50, 0.85, 14.63, 1.68, -114.38
7301, -0.07, -0.38, 0.86, 26.53, 11.13, -78.40
7302, 0.04, -0.40, 1.10, 5.88, 16.52, -55.44
7303, 0.08, -0.40, 1.03, -27.23, 64.26, -17.01
7304, -0.06, -0.52, 1.15, -43.68, 82.53, -5.46
7305, -0.21, -0.73, 1.10, 61.67, 33.32, 16.31
7306, -0.32, -0.58, 0.97, 86.87, -7.49, 49.77
7307, -0.26, -0.41, 0.80, 110.39, 8.40, 84.35
7308, -0.08, -0.36, 0.90, 103.25, 12.39, 87.92
7309, -0.10, -0.20, 1.05, 58.38, 31.57, 87.36
7310, -0.20, -0.07, 0.96, 31.08, 32.06, 94.99
7311, -0.20, -0.02, 0.91, 13.44, 0.98, 80.50
7312, -0.05, -0.04, 0.90, 0.49, -13.58, 63.14
7313, 0.02, -0.02, 0.96, 8.33, 6.72, 64.61
7314, -0.09, -0.02, 0.87, 12.53, 13.30, 72.94
7315, -0.22, -0.09, 0.91, 22.54, -19.88, 79.52
7316, -0.26, -0.05, 0.91, 12.11, -24.57, 78.89
7317, -0.21, -0.00, 1.04, -6.58, -15.96, 54.74
7318, -0.20, 0.05, 1.06, -57.75, 25.34, 21.35
7319, -0.25, -0.08, 1.19, -89.11, 82.88, -9.24
7320, -0.50, -0.14, 1.17, -75.81, 61.60, -33.11
7321, -0.54, -0.18, 0.97, -77.49, -2.59, -60.55
7322, -0.45, -0.30, 0.75, -96.95, -77.14, -77.98
7323, -0.35, -0.25, 1.00, -95.97, -73.78, -74.62
7324, -0.15, -0.35, 1.04, -73.36, -22.40, -101.29
7325, -0.07, -0.39, 0.93, -43.19, -18.13, -108.71
