t,ax,ay,az,gx,gy,gz
6313, 4.16, -0.71, -3.35, -972.58, 953.12, 205.45
6314, 2.16, 3.04, -5.53, 29.82, -1704.43, -623.28
6315, 3.22, -0.01, 0.98, -375.97, -2293.48, -1260.63
6316, 6.71, -2.06, 2.68, -238.28, -2249.80, 225.96
6317, -5.71, -2.77, 14.34, -53.27, 29.26, -111.30
6318, 2.00, 0.48, 1.24, -31.71, 1294.16, 224.14
6319, 0.48, 0.19, -0.39, 120.05, 1199.87, 111.30
6320, -0.05, -0.10, -1.17, 234.01, 826.28, -19.74
6321, -0.83, 0.10, -1.24, 155.40, 456.75, 24.85
6322, -0.97, 0.01, -1.30, 79.24, 44.73, -56.70
6323, -0.99, -0.27, -0.71, 36.82, -191.94, -110.95
6324, -0.89, -0.21, -0.23, 35.56, -211.82, -120.89
6325, -0.70, -0.26, -0.07, 61.46, -61.46, -101.92
6326, -0.72, -0.42, -0.19, 64.19, 65.73, -47.88
6327, -0.95, -0.44, -0.36, 46.20, 93.94, -39.06
6328, -0.82, -0.51, -0.46, 44.03, 115.85, -0.49
6329, -0.63, -0.55, -0.57, 51.94, 106.54, 23.03
6330, -0.48, -0.73, -0.55, 61.32, 64.89, 76.51
6331, -0.53, -0.60, -0.55, -13.93, 55.09, 39.13
6332, -0.82, -0.19, -0.33, 18.34, 45.92, 98.21
6333, -1.38, 0.03, -0.16, -28.98, -47.11, 7.00
6334, -1.38, 0.05, -0.00, 7.42, 43.75, 17.36
6335, -1.27, -0.09, -0.26, 58.45, 182.84, 10.29
6336, -1.23, -0.24, -0.70, 97.79, 173.67, 8.61
6337, -1.20, -0.27, -0.74, 69.51, -21.91, 0.98
6338, -0.70, -0.18, -0.27, 27.65, -100.31, -108.36
6339, -1.01, -0.47, -0.19, 9.45, -26.46, -31.50
6340, -1.11, -0.50, -0.25, 13.65, -19.53, -8.54
6341, -0.78, -0.62, -0.11, 55.09, -9.94, 45.92
6342, -0.79, -0.29, -0.15, 37.94, 116.13, 69.09
6343, -0.72, -0.10, -0.58, -20.86, 157.43, 58.45
6344, -0.54, -0.17, -0.67, -49.91, -63.77, -2.87
6345, -0.79, -0.34, -0.33, -26.39, -173.46, -9.38
6346, -0.71, -0.61, -0.16, -1.54, -74.13, 35.84
6347, -0.73, -0.37, -0.26, 18.69, 34.16, 51.45
6348, -0.73, -0.32, -0.40, 15.61, -19.60, 17.22
6349, -1.13, -0.24, -0.54, 41.93, 12.53, -7.56
6350, -1.31, -0.21, -0.60, 63.00, 4.76, -24.85
6351, -0.91, -0.16, -0.56, 51.10, -33.60, 12.67
6352, -1.22, -0.04, -0.49, 31.15, 11.76, -33.46
6353, -1.28, 0.04, -0.51, 13.44, 19.53, -53.55
6354, -1.03, -0.05, -0.65, -10.64, -4.20, -45.71
6355, -0.84, 0.10, -0.71, -48.23, -91.77, -48.65
6356, -0.70, -0.05, -0.31, -43.96, -209.23, -120.61
6357, -0.76, -0.20, -0.08, -41.72, -136.01, -156.94
6358, -0.90, -0.96, -0.12, -67.13, -36.68, -89.46
6359, -0.86, -0.88, -0.21, -80.85, 5.60, -2.94
6360, -0.82, -0.52, -0.33, -68.11, 58.66, -0.77
6361, -0.85, -0.42, -0.44, -60.20, 6.86, -13.79
6362, -0.74, -0.39, -0.32, -83.58, -77.07, -4.97
6363, -0.78, -0.31, -0.12, -100.94, -42.28, 4.06
